Parameters: min_rule_covered=5.0; induction_measure=LogRankStatistics; pruning_measure=LogRankStatistics; voting_measure=LogRankStatistics; 
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,integrated_brier_score,
bmt-test-0.arff,2019.06.06_09.00.52,0.023254581,0.005186501, 2.86952E-4, 0.001561766, 4.0, 2.0, 0.0, 0.20833333333333334, 1.0, 0.7975541445959424, 0.2024458554040575, 0.21528675531262176, 0.23540472448196476, 0.5, 0.5, 0.25, 0.260450570972979, 
bmt-test-1.arff,2019.06.06_09.00.52,0.022554095,0.00485764, 2.91656E-4, 0.001371036, 4.0, 2.0, 0.0, 0.20684523809523808, 1.0, 0.7583448648233108, 0.24165513517668927, 0.2663684070604172, 0.31516838948318027, 0.5, 0.5, 0.5, 0.2964741007400387, 
bmt-test-2.arff,2019.06.06_09.00.52,0.031631328,0.00472507, 1.41125E-4, 0.0011927069999999999, 4.0, 2.0, 0.0, 0.20833333333333331, 1.0, 0.725222331025103, 0.27477766897489697, 0.294753642623811, 0.33123355398982013, 0.5, 0.5, 0.5, 0.1962387338659553, 
bmt-test-3.arff,2019.06.06_09.00.52,0.029858303,0.0054448, 1.8175100000000002E-4, 0.001655847, 4.0, 2.0, 0.0, 0.21130952380952384, 1.0, 0.7283020763337382, 0.27169792366626166, 0.2918198726154017, 0.32869745613132234, 0.5, 0.5, 0.5, 0.21864341439128912, 
bmt-test-4.arff,2019.06.06_09.00.53,0.02400168,0.006508358, 2.04415E-4, 0.001894475, 4.0, 2.0, 0.0, 0.20982142857142855, 1.0, 0.7218713480581017, 0.2781286519418983, 0.30620580221489874, 0.3599176433263598, 0.5, 0.5, 0.5, 0.1992990154734547, 
bmt-test-5.arff,2019.06.06_09.00.53,0.022053321,0.00435601, 1.44545E-4, 0.001153792, 4.0, 2.0, 0.0, 0.20833333333333331, 1.0, 0.7011866405199666, 0.2988133594800334, 0.32788178511761484, 0.38073182559034885, 0.5, 0.5, 0.25, 0.19370507229961503, 
bmt-test-6.arff,2019.06.06_09.00.53,0.021829661,0.003947181, 1.2017000000000001E-4, 0.001185437, 4.0, 2.0, 0.0, 0.20982142857142855, 1.0, 0.7402188345964469, 0.2597811654035531, 0.28097331914341933, 0.31308905310839813, 0.5, 0.25, 0.25, 0.2361029958932318, 
bmt-test-7.arff,2019.06.06_09.00.53,0.022299645,0.004010045, 1.34709E-4, 0.0011529350000000001, 4.0, 2.0, 0.0, 0.20710059171597633, 1.0, 0.6797006833112865, 0.3202993166887135, 0.35518493553206465, 0.4204609586464467, 0.5, 0.5, 0.25, 0.19985073403583337, 
bmt-test-8.arff,2019.06.06_09.00.53,0.024231326,0.004025868, 1.3684599999999998E-4, 0.001161062, 4.0, 2.0, 0.0, 0.20710059171597633, 1.0, 0.6547461944654861, 0.3452538055345139, 0.389518640303946, 0.47345660895391284, 0.5, 0.5, 0.25, 0.2022793070593929, 
bmt-test-9.arff,2019.06.06_09.00.53,0.02368907,0.00429614, 1.92869E-4, 9.202959999999999E-4, 4.0, 2.0, 0.0, 0.20857988165680472, 1.0, 0.7221657729077238, 0.27783422709227623, 0.3006498505572769, 0.34117539096166144, 0.5, 0.5, 0.25, 0.2077423603566594, 
