@RELATION titanic
@ATTRIBUTE pclass {"1st","2nd","3rd","crew"}
@ATTRIBUTE age {"adult","child"}
@ATTRIBUTE sex {"male","female"}
@ATTRIBUTE class {"yes","no"}
@DATA
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,yes
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,male,no
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
1st,adult,female,yes
