@relation baseball
@attribute Batting_average numeric
@attribute On-base_percentage numeric
@attribute Runs numeric
@attribute Hits numeric
@attribute Doubles numeric
@attribute Triples numeric
@attribute HomeRuns numeric
@attribute Runs_batted_in numeric
@attribute Walks numeric
@attribute Strike-Outs numeric
@attribute Stolen_bases numeric
@attribute Errors numeric
@attribute Free_agency_eligibility numeric
@attribute Free_agent numeric
@attribute Arbitration_eligibility numeric
@attribute Arbitration numeric
@attribute class numeric
@attribute group {0,1}
@data
0.271,0.328,74,161,22,6,12,58,49,133,23,17,1,1,0,0,109,1
0.264,0.318,24,48,7,0,1,22,15,18,0,7,0,0,0,0,160,1
0.251,0.338,101,141,35,3,32,105,71,104,34,6,0,0,1,0,2700,0
0.224,0.274,28,94,21,1,1,44,27,54,2,7,1,1,0,0,550,1
0.206,0.262,14,51,18,1,1,28,17,26,0,3,1,1,0,0,300,1
0.238,0.272,53,106,18,3,15,59,22,107,14,7,0,0,0,0,230,1
0.115,0.148,0,3,1,0,0,2,1,6,0,3,0,0,0,0,109,1
0.307,0.405,98,167,35,1,14,52,84,72,0,15,0,0,0,0,560,1
0.187,0.281,38,50,9,2,15,37,32,98,0,9,0,0,0,0,142,1
0.266,0.359,115,152,32,1,44,122,78,152,26,9,1,0,0,0,4300,0
0.235,0.353,39,67,10,0,11,33,48,92,14,3,1,0,0,0,3600,0
0.262,0.312,45,116,25,3,4,41,26,55,11,5,0,0,1,0,1650,0
0.213,0.312,36,57,8,3,2,26,39,32,8,15,0,0,0,0,183,1
0.285,0.38,96,157,30,3,3,50,83,36,35,8,1,0,0,0,2000,0
0.312,0.357,67,155,30,3,4,43,34,74,17,6,1,0,0,0,3563,0
0.225,0.333,71,8,16,4,0,3,14,12,25,0,0,0,1,0,109,1
0.283,0.327,15,39,7,1,7,26,9,31,3,1,0,0,0,0,155,1
0.247,0.306,65,114,14,9,6,52,36,60,15,3,1,1,0,0,1050,0
0.233,0.326,45,74,16,0,23,61,41,99,0,0,0,0,0,0,687,1
0.231,0.291,45,107,23,2,5,48,37,53,8,5,1,0,0,0,2400,0
0.259,0.349,108,146,34,4,38,117,78,120,30,31,1,0,0,0,2319,0
0.311,0.361,64,125,15,6,1,57,33,38,16,1,0,0,0,0,395,1
0.26,0.313,82,158,27,10,19,59,47,115,16,3,1,0,0,0,1025,0
0.211,0.274,5,12,2,0,0,3,3,2,0,4,0,0,0,0,135,1
0.282,0.342,110,181,40,10,17,60,55,135,33,1,1,0,0,0,2383,0
0.295,0.358,79,161,23,4,4,46,53,71,19,11,0,0,1,0,1458,0
0.262,0.352,74,129,24,5,19,48,63,95,14,11,1,0,0,0,1600,0
