@relation wankara
@attribute Max_temperature numeric
@attribute Min_temperature numeric
@attribute Dewpoint numeric
@attribute Precipitation numeric
@attribute Sea_level_pressure numeric
@attribute Standard_pressure numeric
@attribute Visibility numeric
@attribute Wind_speed numeric
@attribute Max_wind_speed numeric
@attribute class numeric
@attribute group {0,1}
@data
46.4,29.1,26.2,0,29.79,26.53,8.4,4.72,14.9,37.9,1
87.8,57.9,51.5,0.05,29.72,26.69,8.6,8.98,25.3,72.3,0
86.7,57.2,51.1,0,29.95,26.82,8.7,9.44,12.7,73.5,0
75.2,42.1,41.3,0,29.79,26.66,8.7,3.8,33.2,58.5,0
42.8,30.6,34.9,0,30.16,26.89,6.5,2.07,9.21,41.1,1
84.6,61.9,50.3,0.05,29.68,26.64,8.7,9.44,23,71.1,0
57.2,43.5,39.3,0.1,29.89,26.7,8.7,7.25,13.8,48.7,0
77.7,55.2,53.8,0.2,29.6,26.53,7.7,5.87,13.8,63.8,0
50.4,37.4,36.6,0.1,29.53,26.33,8.4,8.4,19.4,41.7,1
79.5,41.4,37.5,0,29.93,26.79,8,2.42,6.9,63.6,0
75.2,42.4,41.6,0,29.94,26.79,8.5,3.57,19.4,56.7,0
53.6,25.9,31.6,0,29.98,26.72,4.4,4.14,13.8,39.5,1
87.1,47.8,47.6,0.05,29.82,26.75,8.6,5.87,18.3,67.4,0
69.1,46.4,45.1,0,29.93,26.81,8.7,3.68,13.8,59.1,0
69.1,31.3,39.8,0.05,29.68,26.58,8.2,8.17,23,54,0
37.8,28.4,26.8,0.3,29.96,26.66,8,9.55,16.1,32.5,1
84.2,60.4,44.2,0,29.71,26.68,8.7,13.3,24.1,72.8,0
33.8,12.2,13.8,0,30.45,27.02,7,2.3,11.3,22.3,1
76.3,51.1,41.6,0,29.89,26.8,8.7,7.37,13.8,63.2,0
73,39.6,43.9,0.05,29.87,26.7,8.5,5.06,18.3,55.5,0
68,35.6,37.6,0.05,29.73,26.57,8.5,5.75,17.2,51.6,0
90.3,58.1,45,0,29.68,26.66,7.7,5.52,12.7,75.6,0
44.1,36.9,36.5,0,30.23,26.94,1.9,1.84,5.87,40.3,1
43.7,17.6,16,0,29.94,26.6,7,4.83,14.9,29.4,1
48.6,42.8,43.2,1,29.68,26.5,5,4.6,14.9,46.2,1
50,36.3,41.2,0,29.82,26.63,7.7,11.7,17.2,46.2,1
88.5,61.5,56.9,0,29.56,26.57,8.8,6.56,13.8,74.9,0
74.8,41,45.3,0.05,29.87,26.74,8.6,7.48,23,57.7,0
44.2,33.8,34.3,0.1,29.81,26.58,8.2,3.34,8.06,38.3,1
36.3,12.2,13.8,0,30.52,27.08,6.8,1.5,6.9,21.9,1
82.4,60.4,50.3,0,29.81,26.75,8.8,8.17,16.1,70.2,0
56.1,20.8,20.2,0,29.85,26.6,8.3,4.6,16.1,39.4,1
61.7,19.4,18.3,0,30.44,27.12,6.3,1.73,10.2,37,1
87.1,57.2,52.6,0,29.75,26.71,9,5.64,12.7,71.2,0
75.9,47.1,41.1,0,30.07,26.9,8.5,1.38,4.72,62.3,0
80.2,45.7,45.3,0,29.91,26.81,8.4,1.5,5.87,65.8,0
75.2,42.4,46.6,0,30.05,26.89,8.3,2.3,11.3,59.6,0
75.9,55.4,51.5,0.5,29.69,26.62,8.5,3.45,14.9,64.4,0
60.8,42.1,39.7,0.3,29.85,26.69,8.8,9.67,14.9,51.5,0
66.2,37.4,36.4,0,29.82,26.64,8.7,5.52,13.8,52.9,0
89.6,55,48.7,0,29.83,26.79,8.6,2.88,9.21,75.3,0
43.5,23,25.4,0,30.18,26.85,5.7,0.69,13.31,32.4,1
73.4,44.6,41.5,0,30.11,26.95,8.5,6.79,13.8,59.6,0
56.3,28.2,29.7,0,30.11,26.84,6.2,3.68,10.2,42.4,1
66.6,27.1,27.1,0,30.05,26.9,8,3.8,21.8,46,1
81.1,39.2,35.8,0,30.04,26.88,7.7,1.27,6.9,60,0
79.5,53.6,51.1,0,29.85,26.75,8.4,5.64,20.8,63.6,0
73.4,40.6,40.3,0.05,29.83,26.7,8.7,4.14,13.8,58.3,0
72,45.7,41.6,0,29.79,26.65,9.5,7.25,16.1,59.8,0
74.5,51.8,43.1,0,29.98,26.87,8.4,8.75,12.7,63,0
89.2,44.6,28,0,29.99,26.85,8.4,2.07,6.9,64.8,0
41,32,29,0,29.98,26.7,8.3,10.2,17.2,36.3,1
79.5,53.4,49.1,0,29.86,26.76,9,5.41,14.9,65.9,0
50,23,29.7,0,29.97,26.69,5.6,3.8,11.3,36.9,1
54.3,39.2,35.7,0,29.65,26.49,8.1,11.8,25.3,45.4,1
77,58.3,49.3,0,29.78,26.72,8.7,14.6,20.8,66.7,0
34.2,11.5,8.8,0,30.15,26.76,8.4,5.52,14.9,24.1,1
36,26.6,29,0,29.92,26.65,4.8,3.91,9.21,31.6,1
77.4,50.5,46.5,0,29.82,26.72,8.7,4.14,17.2,65.3,0
70.9,37.4,33.3,0,30.04,26.84,8.2,4.14,10.2,55.6,0
43.2,33.8,34,0.1,29.84,26.61,7.3,4.03,8.06,37.5,1
46.4,40.6,37.7,1.1,29.89,26.69,7.9,9.55,17.2,43.1,1
80.2,53.6,48,0,29.87,26.79,8.5,8.98,13.8,68.1,0
82.4,57.2,49.3,0.05,29.89,26.76,8.4,7.02,16.1,69.9,0
49.5,37.4,39.3,0,29.89,26.69,3.8,2.3,10.2,43.9,1
66.9,42.8,44.2,0.2,29.9,26.73,7.5,4.6,13.8,55.4,0
78.8,42.8,43.6,0,29.98,26.75,7,4.37,48.3,62.1,0
76.3,35.6,34.1,0,30.17,26.99,8.5,1.5,6.9,56.7,0
42.3,25.9,32.1,0.1,30.09,26.77,4.1,4.26,12.7,34.6,1
78.8,55.4,46.4,0,29.77,26.69,8.6,15.3,23,65.6,0
88.9,51.8,46.6,0,29.77,26.73,8.6,4.83,11.3,73.8,0
79.9,46,47.4,0,29.93,26.81,8.2,2.42,9.21,64.3,0
63.7,29.8,30.4,0,30.05,26.81,8.6,3.22,11.3,45.9,1
65.5,31.3,34.7,0,30.24,27.02,8.6,2.3,8.06,49.4,0
51.4,39.6,40.6,0.3,29.98,26.76,7.5,2.88,8.06,45.4,1
81,55.4,43,0,29.98,26.78,6.8,8.86,14.9,66.6,0
79.5,59,47.8,0,29.9,26.77,8.7,11.6,17.2,68.2,0
72.3,39.6,38.4,0,29.85,26.72,8.3,4.03,12.7,56.7,0
86,62.6,49.8,0,29.83,26.79,8.1,11,17.2,74.3,0
84.6,56.1,47.7,0,29.89,26.81,9.2,7.25,13.8,70.3,0
44.2,24.4,21,0,30.12,26.78,8,4.37,14.9,31.9,1
56.3,46.4,44.2,0.2,29.86,26.67,8.5,8.63,16.1,50.4,0
80.2,58.3,51.9,0,30.06,26.9,8.6,4.6,16.1,65.7,0
80.6,49.3,41.3,0,29.85,26.77,8.9,8.52,18.3,68.7,0
41.9,29.1,30,0.1,30.03,26.72,6.2,4.83,12.7,34.4,1
98.6,56.8,50.8,0,29.67,26.58,8.8,4.49,10.2,78.6,0
59,16.5,23,0,29.85,26.57,6.1,3.68,11.3,37.8,1
80.6,59,50.2,0,29.69,26.66,8.4,7.37,14.9,69.9,0
49.3,30,32.9,0.1,30.18,26.87,3.8,0.58,4.72,36.7,1
88.5,53.8,48.9,0,29.77,26.71,8.6,4.03,9.21,75.9,0
30.9,23.2,27.2,0,30.48,27.15,0.7,0,13.31,28.5,1
59.4,22.3,28.8,0,30.23,26.96,6.1,2.3,10.2,40.5,1
74.8,48.9,47.4,0,29.86,26.76,8.4,5.75,13.8,63.3,0
65.5,37.6,37.8,0.05,29.78,26.62,8.6,7.02,18.3,54,0
73.4,31.6,41.8,0,29.9,26.74,8.8,7.25,16.1,59.1,0
52.2,24.8,30.7,0,30.27,26.99,3.7,0.58,4.72,35.3,1
60.4,40.6,41.7,0,29.88,26.69,7.2,4.72,12.7,50.7,0
81.3,51.8,46.6,0,29.78,26.71,8.4,3.57,12.7,65.9,0
80.6,51.4,51.2,0.1,29.82,26.73,8.6,4.26,13.8,65.2,0
71.6,48.2,45.9,0.6,29.91,26.78,7.2,4.37,12.7,59.5,0
79.5,49.3,49.4,0,29.8,26.71,7.5,7.14,13.31,65.4,0
70.2,44.2,45.9,0,29.87,26.7,8.4,5.18,12.7,55.4,0
36.7,26.6,25.2,0.2,30,26.75,7.2,6.33,13.8,32.1,1
82.4,55.4,54.6,0,29.73,26.68,8.7,5.75,18.3,67.9,0
90.7,59.7,51.2,0,29.58,26.58,11.5,9.32,14.9,77.4,0
70.9,40.3,40.9,0,29.91,26.75,8.7,3.57,13.8,55.9,0
66.9,42.4,37.8,0,29.93,26.75,8.7,3.8,11.3,54.5,0
81,41.7,41.6,0,29.99,26.83,8,4.83,11.3,64.3,0
33.8,26.6,25.2,0,30.19,26.85,8.2,6.56,11.3,30.6,1
49.6,28.4,36.4,0.2,30.04,26.8,8.3,5.87,12.7,41.1,1
52.9,41.2,42.2,0.3,29.78,26.58,7.5,5.18,9.21,47.5,1
41,20.8,23.3,0,30.19,26.83,4.2,0.46,4.72,29.4,1
32.7,13.8,13.9,0,30.23,26.9,8.4,1.5,6.9,22.4,1
39.2,26.6,21.2,0,30.29,26.94,8.4,4.26,11.3,31.2,1
39.7,23.4,28.2,0,30.22,26.95,4.5,1.15,5.87,32.2,1
61.5,25.5,27.7,0,29.84,26.62,8.3,7.14,13.8,44.7,1
43.2,33.4,36.5,0.1,29.96,26.68,4.5,4.37,10.2,39.6,1
34.5,18.3,20.3,0,30.17,26.87,8.4,3.68,9.21,26.3,1
63,35.6,32.8,0,30.19,26.95,8.5,4.6,11.3,47.3,1
85.3,60.8,54,0.05,29.68,26.67,8.8,11.6,17.2,71.1,0
35.6,6.8,13,0,30.35,26.93,5.5,1.84,6.9,21.2,1
75.7,48.2,42.9,0,30.03,26.91,7.8,8.63,14.9,60,0
50.4,37.4,35.9,0.2,29.69,26.52,8.2,10.5,19.4,42.1,1
50.7,42.8,39.3,0.1,29.9,26.72,8.3,5.06,9.21,46.4,1
82.4,47.8,50.2,0,29.97,26.87,8.4,2.88,10.2,66.1,0
81,56.8,52.3,0,29.73,26.67,8.5,6.79,16.1,67.2,0
59.4,38.8,36.5,0,30.23,27,8.7,8.06,16.1,48.2,1
66.2,48.9,47.4,0,30.03,26.85,8.8,2.99,6.9,58.3,0
80.6,51.8,42.4,0,29.99,26.89,8.5,9.78,16.1,67,0
79.2,51.8,45.1,0,29.77,26.71,8.3,6.79,11.3,67.1,0
86.7,48.6,45.9,0,29.84,26.76,8.2,4.49,12.7,68.8,0
50.5,26.6,27.8,0,30.2,26.9,8.7,4.72,10.2,37.9,1
49.3,33.8,37.6,0.3,29.7,26.49,7.4,5.52,10.2,42,1
51.8,40.3,34.4,0.05,30.23,26.98,8.5,13.5,19.4,45.1,1
46.4,19.2,17.7,0,30.23,26.91,7.8,5.18,12.7,30.5,1
78.8,38.7,40.4,0,29.85,26.69,8.7,6.9,14.9,61.6,0
70.9,37.4,35.1,0,29.96,26.8,8.4,3.22,11.3,54.8,0
67.6,42.8,40,0,30.07,26.91,8.7,9.32,17.2,56.8,0
57.9,27.7,32.9,0,30.12,26.9,7.9,4.72,13.8,44.2,1
84.6,50,46.4,0,29.86,26.77,8.4,1.15,9.21,68.1,0
45.7,30.2,29,0.3,29.88,26.64,7.2,10.2,21.8,39.1,1
55.4,24.4,28.1,0,30.01,26.78,8.5,1.84,9.21,41.8,1
81,55.4,54.4,0.2,29.76,26.7,8.8,3.45,8.06,67.8,0
36,29.7,29.3,0,30.48,27.12,4.8,2.65,5.87,32.5,1
32.7,8.6,14.3,0.05,30.05,26.71,8.3,6.56,11.3,22.5,1
43.5,30.6,30.7,0.8,30.04,26.75,5.6,3.34,9.21,36.5,1
48.2,18.9,24.9,0,30.03,26.77,6.3,3.34,11.3,33.5,1
57.4,30,48.7,0.3,29.82,26.67,7,7.25,11.3,54.4,0
27.5,20.5,12.7,0,30.39,27.01,8.9,4.6,13.8,24.9,1
41,28.4,24.8,0,30.07,26.82,8.9,3.91,9.21,35.1,1
77.7,52.5,52.3,0.5,30.02,26.92,8.7,6.67,12.7,65.3,0
92.5,54.7,32.5,0,29.89,26.77,8.6,4.03,12.7,73.7,0
88.9,61.9,52.1,0,29.73,26.71,8.8,6.56,11.3,77.2,0
59.7,27.3,34.8,0,29.83,26.6,7.2,1.84,6.9,43.6,1
47.3,33.1,36,0,30.21,26.95,4.8,4.37,11.3,42,1
45.7,31.5,32.7,0,30.13,26.84,5.5,2.07,6.9,38.6,1
77.4,44.6,47.3,0,29.8,26.67,8.5,5.64,21.8,60,0
48.6,37.4,39.1,0.05,29.98,26.74,7.8,5.64,13.8,44.5,1
69.8,40.8,40.3,0,30,26.85,8.7,5.29,11.3,55.2,0
67.6,34.5,42.3,0,30.04,26.85,6.4,5.64,16.1,52.5,0
79.5,39.2,37.6,0,29.73,26.63,8.2,7.25,17.2,63.7,0
77,40.6,41.5,0,29.89,26.71,8.5,5.52,17.2,58.5,0
52.3,20.5,25.5,0,30.01,26.76,8.2,0.92,5.87,36,1
44.6,37.4,38.9,0.2,29.66,26.46,6,6.1,13.8,41.1,1
66.7,54,47.9,0,29.82,26.71,8.6,7.14,10.2,61.8,0
37.4,17.6,19.5,0.05,30.23,26.93,7.3,5.06,12.7,27,1
84.6,51.6,50.1,0,29.75,26.68,8.6,3.34,6.9,69.5,0
77,45.3,46.1,0,29.86,26.75,8.6,5.52,14.9,63.1,0
41,24.8,21.5,0,30.01,26.75,8.5,3.45,12.7,33.1,1
61.9,22.3,27.3,0,30.22,26.93,8.1,2.42,13.8,39.8,1
86.7,49.5,48.5,0,29.78,26.66,8.8,6.79,17.2,69.6,0
56.5,34.2,34.8,0,29.89,26.68,8.4,5.41,40.2,46.1,1
39.6,29.5,31.5,0,30.27,26.95,5.2,1.15,4.72,35.1,1
43.9,35.6,35.2,0.1,29.78,26.59,8,8.17,21.8,40.1,1
55.4,32,35.3,0.2,29.72,26.5,7.6,7.71,18.3,40.5,1
56.5,28.2,32.5,0.2,30,26.77,8.3,2.99,8.06,43.8,1
41,12.2,16.6,0,30.43,27.01,5.3,1.61,4.72,24.6,1
82.4,49.6,47.1,0,29.87,26.78,8.7,6.56,23,67.9,0
38.7,22.6,22.2,0,30.18,26.83,8.1,1.61,6.9,29.9,1
86.5,51.1,45.6,0,29.8,26.68,8.4,3.45,12.7,69.7,0
68.4,50.9,50,0,30.03,26.84,8.6,6.67,13.8,58.3,0
44.6,24.8,27.4,0.1,29.94,26.71,7.6,8.86,25.3,33.3,1
44.2,31.5,32.8,0.5,29.94,26.66,5.7,3.57,10.2,36.1,1
47.5,25.9,26.7,0,30.08,26.78,5.3,0.81,4.72,32.9,1
81.5,54,55.7,0.1,29.78,26.71,8.6,6.1,10.2,68.1,0
36.7,28.4,27,0.2,30,26.69,7.1,5.52,10.2,31.9,1
78.8,50.7,41.1,0,29.93,26.79,8.9,10.4,17.2,65.1,0
87.8,51.1,47.6,0,29.77,26.64,8.6,3.57,11.3,71.4,0
52.7,33.8,33.4,0.1,29.73,26.53,8.4,5.41,19.4,41.6,1
76.6,54.7,48.2,0,29.82,26.7,8.3,5.75,13.8,64.3,0
65.3,28,35.3,0,30.23,26.98,5.5,3.11,11.3,47.8,1
73.4,53.6,44.2,0.9,29.77,26.64,8.9,11.2,16.1,64.9,0
35.6,24.8,20.2,0,29.96,26.72,9.1,11,23,31,1
53.2,37.8,31.4,0,29.92,26.69,8.1,7.25,19.4,44.4,1
80.6,60.8,54.1,0,29.66,26.63,8.3,6.21,12.7,71.1,0
82.4,59.7,49.8,0,29.84,26.73,8.5,9.44,14.9,71.5,0
77.4,50.7,52.5,0.05,29.65,26.56,8.1,5.41,17.2,62.6,0
81,52.9,52.5,0,29.7,26.64,8.4,5.18,11.3,68.7,0
48.9,28.4,30.9,0.05,29.85,26.57,5.6,4.72,16.1,35.9,1
50.7,22.6,28.5,0,30.26,26.98,3.6,2.65,16.1,32.1,1
53.6,42.4,42.7,0,29.86,26.66,7,5.75,11.3,47.1,1
44.6,38.5,35.6,0.7,30,26.76,7.6,5.64,10.2,41.6,1
56.7,31.3,34.8,0,30.2,26.93,4.9,0.35,4.72,42.5,1
66.6,39.2,36.6,0,29.89,26.71,8.3,3.34,9.21,50.8,0
52.5,35.2,39.3,0.05,30.05,26.82,8.1,5.18,14.9,44.6,1
54.5,43.9,44.3,0,29.84,26.65,7,4.83,11.3,49.2,0
52.9,30.4,35,0,29.92,26.68,7.5,6.9,16.1,42.7,1
90.3,55.4,53.7,0,29.65,26.63,8.6,5.75,13.8,74.4,0
30.2,18,20.9,0.05,30.07,26.77,6.9,4.83,11.3,25.9,1
33.1,12.6,12.8,0,30.23,26.82,8.3,3.22,9.21,20.6,1
52.5,23,19.5,0,30.3,26.97,7.7,5.41,11.3,36.6,1
54.3,24.8,30.4,0.2,30.04,26.77,8.4,3.57,9.21,41.9,1
50.4,33.4,37.2,0.6,29.53,26.33,7.6,6.79,16.1,42.6,1
37.4,21,23.2,0,30.16,26.81,6.7,1.15,5.87,29,1
83.1,46.9,48,0,29.83,26.75,8.4,7.25,13.8,66.8,0
71.6,48.2,46.7,0,29.89,26.77,8.3,4.72,17.2,59.7,0
37.8,31.5,30.9,0.2,30.12,26.81,7.1,2.19,6.9,34.8,1
43.3,30.2,31.6,0.05,30.01,26.72,4.8,5.29,13.31,34.8,1
78.8,43.9,43,0,29.98,26.91,7.1,9.32,17.2,63,0
73.4,40.6,46.1,0,30,26.86,8,4.37,11.3,59.7,0
39.6,26.6,30.4,0.05,29.81,26.58,6.7,6.9,13.8,36.1,1
46.8,23,28.5,0.05,29.97,26.72,6.1,4.03,13.8,35,1
36.5,31.6,29.9,0,29.96,26.67,6.7,10,14.9,33.5,1
91.4,47.1,32.8,0,29.92,26.79,8.6,1.84,8.06,69.4,0
39.7,26.6,25.1,0.3,29.81,26.59,7.9,6.1,14.9,33.5,1
60.1,39.9,37.5,0,30.21,26.99,8.8,1.5,5.87,48.7,0
64.4,38.8,41.1,0,30.06,26.86,8.4,4.14,16.1,50.7,0
60.1,41,42.3,0,29.98,26.78,8.7,7.94,14.9,50.2,0
93.7,57.6,52,0,29.74,26.65,8.7,5.06,14.9,77.4,0
93.2,59,52.4,0,29.7,26.61,8.6,10.2,27.5,75.5,0
85.3,59,52.9,0,29.7,26.65,8.8,6.44,18.3,71.6,0
72.7,37,34.8,0,30.1,26.93,7.7,4.14,12.7,54.5,0
62.6,39.2,40,0,30.03,26.81,7.5,1.5,8.06,49.2,0
88.5,55.4,43,0,29.82,26.77,8.3,6.1,19.4,71.7,0
39.2,32,29.9,0,30.16,26.85,7.9,9.78,14.9,35.4,1
86.7,59,54.3,0,29.76,26.74,8.2,4.6,10.2,74.2,0
36.5,15.8,20.3,0.3,29.93,26.6,7.8,2.42,6.9,28.4,1
48.9,32,36.2,4,30.27,26.98,2.9,1.15,6.9,39,1
63.5,26.2,29.7,0.05,30.24,26.97,6.8,2.07,8.06,43.4,1
35.6,24.8,26.2,0.2,30.06,26.8,6.8,7.48,13.8,32.2,1
71.6,49.5,45.6,0,30.08,26.92,8.6,9.9,19.4,57.8,0
62.6,33.8,38.7,0,30.22,26.98,6.3,2.65,9.21,48.2,1
