@relation cpu
@attribute vendor {'adviser','amdahl','apollo','basf','bti','burroughs','c.r.d','cambex','cdc','dec','dg','formation','four-phase','gould','harris','honeywell','hp','ibm','ipl','magnuson','microdata','nas','ncr','nixdorf','perkin-elmer','prime','siemens','sperry','sratus','wang'}
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric
@attribute group {0,1}
@data
'adviser',125,256,6000,256,16,128,199,0
'amdahl',29,8000,32000,32,8,32,253,0
'amdahl',29,8000,32000,32,8,32,253,0
'amdahl',29,8000,32000,32,8,32,253,0
'amdahl',29,8000,16000,32,8,16,132,0
'amdahl',26,8000,32000,64,8,32,290,0
'amdahl',23,16000,32000,64,16,32,381,0
'amdahl',23,16000,32000,64,16,32,381,0
'amdahl',23,16000,64000,64,16,32,749,0
'amdahl',23,32000,64000,128,32,64,1238,0
'apollo',400,1000,3000,0,1,2,23,1
'apollo',400,512,3500,4,1,6,24,1
'basf',60,2000,8000,65,1,8,70,0
'basf',50,4000,16000,65,1,8,117,0
'bti',350,64,64,0,1,4,15,1
'bti',200,512,16000,0,4,32,64,0
'burroughs',167,524,2000,8,4,15,23,1
'burroughs',143,512,5000,0,7,32,29,1
'burroughs',143,1000,2000,0,5,16,22,1
'burroughs',110,5000,5000,142,8,64,124,0
'burroughs',143,1500,6300,0,5,32,35,1
'burroughs',143,3100,6200,0,5,20,39,1
'burroughs',143,2300,6200,0,6,64,40,1
'burroughs',110,3100,6200,0,6,64,45,0
'c.r.d',320,128,6000,0,1,12,28,1
'c.r.d',320,512,2000,4,1,3,21,1
'c.r.d',320,256,6000,0,1,6,28,1
'c.r.d',320,256,3000,4,1,3,22,1
'c.r.d',320,512,5000,4,1,5,28,1
'c.r.d',320,256,5000,4,1,6,27,1
'cdc',25,1310,2620,131,12,24,102,0
'cdc',25,1310,2620,131,12,24,102,0
'cdc',50,2620,10480,30,12,24,74,0
'cdc',50,2620,10480,30,12,24,74,0
'cdc',56,5240,20970,30,12,24,138,0
'cdc',64,5240,20970,30,12,24,136,0
'cdc',50,500,2000,8,1,4,23,1
'cdc',50,1000,4000,8,1,5,29,1
'cdc',50,2000,8000,8,1,5,44,1
'cambex',50,1000,4000,8,3,5,30,1
'cambex',50,1000,8000,8,3,5,41,1
'cambex',50,2000,16000,8,3,5,74,0
'cambex',50,2000,16000,8,3,6,74,0
'cambex',50,2000,16000,8,3,6,74,0
'dec',133,1000,12000,9,3,12,54,0
'dec',133,1000,8000,9,3,12,41,1
'dec',810,512,512,8,1,1,18,1
'dec',810,1000,5000,0,1,1,28,1
'dec',320,512,8000,4,1,5,36,1
'dec',200,512,8000,8,1,8,38,1
'dg',700,384,8000,0,1,1,34,1
'dg',700,256,2000,0,1,1,19,1
'dg',140,1000,16000,16,1,3,72,0
'dg',200,1000,8000,0,1,2,36,1
'dg',110,1000,4000,16,1,2,30,1
'dg',110,1000,12000,16,1,2,56,0
'dg',220,1000,8000,16,1,2,42,1
'formation',800,256,8000,0,1,4,34,1
'formation',800,256,8000,0,1,4,34,1
'formation',800,256,8000,0,1,4,34,1
'formation',800,256,8000,0,1,4,34,1
