@relation fishcatch
@attribute Species {'1','2','3','4','5','6','7'}
@attribute Length1 numeric
@attribute Length2 numeric
@attribute Length3 numeric
@attribute Height numeric
@attribute Width numeric
@attribute Sex {'0','1'}
@attribute class numeric
@attribute group {0,1}
@data
'1',23.2,25,30,38.4,13.4,?,242,1
'1',24,26,31.2,40,13.8,?,290,0
'1',23.9,26,31.1,39.8,15.1,?,340,0
'1',26.3,29,33.5,38,13.3,?,363,0
'1',26.5,29,34,36.6,15.1,?,430,0
'1',26.8,29,34.7,39.2,14.2,?,450,0
'1',26.8,29,34.5,41.1,15.3,?,500,0
'1',27.6,30,35,36.2,13.4,?,390,0
'1',27.6,30,35.1,39.9,13.8,?,450,0
'1',28.5,30,36.2,39.3,13.7,?,500,0
'1',28.4,31,36.2,39.4,14.1,?,475,0
'1',28.7,31,36.2,39.7,13.3,?,500,0
'1',29.1,31,36.4,37.8,12,?,500,0
'1',29.4,32,37.2,40.2,13.9,'1',600,0
'1',29.4,32,37.2,41.5,15,?,600,0
'1',30.4,33,38.3,38.8,13.8,'1',700,0
'1',30.4,33,38.5,38.8,13.5,?,700,0
'1',30.9,33,38.6,40.5,13.3,?,610,0
'1',31,33,38.7,37.4,14.8,?,650,0
'1',31.3,34,39.5,38.3,14.1,'1',575,0
'1',31.4,34,39.2,40.8,13.7,?,685,0
'1',31.5,34,39.7,39.1,13.3,?,620,0
'1',31.8,35,40.6,38.1,15.1,?,680,0
'1',31.9,35,40.5,40.1,13.8,?,700,0
'1',31.8,35,40.9,40,14.8,'1',725,0
'1',32,35,40.6,40.3,15,?,720,0
'1',32.7,36,41.5,39.8,14.1,?,714,0
'1',32.8,36,41.6,40.6,14.9,?,850,0
'1',33.5,37,42.6,44.5,15.5,'0',1000,0
'1',35,38,44.1,40.9,14.3,'0',920,0
'1',35,38,44,41.1,14.3,?,955,0
'1',36.2,39,45.3,41.4,14.9,'1',925,0
'1',37.4,41,45.9,40.6,14.7,'0',975,0
'1',38,41,46.5,37.9,13.7,?,950,0
'2',23.6,26,28.7,29.2,14.8,?,270,1
'2',24.1,26,29.3,27.8,14.5,?,270,1
'2',25.6,28,30.8,28.5,15.2,?,306,0
'2',28.5,31,34,31.6,19.3,?,540,0
'2',33.7,36,39.6,29.7,16.6,'0',800,0
'2',37.3,40,43.5,28.4,15,?,1000,0
'3',12.9,14,16.2,25.6,14,?,40,1
'3',16.5,18,20.3,26.1,13.9,?,69,1
'3',17.5,18,21.2,26.3,13.7,?,78,1
'3',18.2,19,22.2,25.3,14.3,?,87,1
'3',18.6,20,22.2,28,16.1,?,120,1
'3',19,20,22.8,28.4,14.7,?,0,1
'3',19.1,20,23.1,26.7,14.7,'0',110,1
'3',19.4,21,23.7,25.8,13.9,'0',120,1
'3',20.4,22,24.7,23.5,15.2,'0',150,1
'3',20.5,22,24.3,27.3,14.6,'0',145,1
'3',20.5,22,25.3,27.8,15.1,'0',160,1
'3',21,22,25,26.2,13.3,?,140,1
'3',21.1,22,25,25.6,15.2,'0',160,1
'3',22,24,27.2,27.7,14.1,?,169,1
'3',22,23,26.7,25.9,13.6,?,161,1
'3',22.1,23,26.8,27.6,15.4,'0',200,1
'3',23.6,25,27.9,25.4,14,?,180,1
'3',24,26,29.2,30.4,15.4,?,290,0
'3',25,27,30.6,28,15.6,'0',272,1
'3',29.5,31,35,27.1,15.3,?,390,0
'4',13.5,14,16.5,41.5,14.1,?,55,1
'4',14.3,15,17.4,37.8,13.3,'1',60,1
'4',16.3,17,19.8,37.4,13.5,'1',90,1
'4',17.5,19,21.3,39.4,13.7,'1',120,1
'4',18.4,20,22.4,39.7,14.7,?,150,1
'4',19,20,23.2,36.8,14.2,?,140,1
'4',19,20,23.2,40.5,14.7,'0',170,1
'4',19.8,21,24.1,40.4,13.1,'0',145,1
'4',21.2,23,25.8,40.1,14.2,?,200,1
'4',23,25,28,39.6,14.8,'0',273,0
'4',24,26,29,39.2,14.6,'0',300,0
'5',9.3,9,10.8,16.1,9.7,'1',6,1
'5',10,10,11.6,17,10,'0',7,1
'5',10.1,10,11.6,14.9,9.9,'1',7,1
'5',10.4,11,12,18.3,11.5,'0',9,1
'5',10.7,11,12.4,16.8,10.3,'1',9,1
'5',10.8,11,12.6,15.7,10.2,'1',8,1
'5',11.3,11,13.1,16.9,9.8,'1',10,1
'5',11.3,11,13.1,16.9,8.9,'0',9,1
'5',11.4,12,13.2,16.7,8.7,'0',9,1
'5',11.5,12,13.4,15.6,10.4,'0',12,1
'5',11.7,12,13.5,18,9.4,'0',13,1
'5',12.1,13,13.8,16.5,9.1,'0',12,1
'5',13.2,14,15.2,18.9,13.6,'0',19,1
'5',13.8,15,16.2,18.1,11.6,'0',19,1
'6',30,32,34.8,16,9.7,?,200,1
'6',31.7,34,37.8,15.1,11,'0',300,0
'6',32.7,35,38.8,15.3,11.3,?,300,0
'6',34.8,37,39.8,15.8,10.1,?,300,0
'6',35.5,38,40.5,18,11.3,?,430,0
