@relation ele.2
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute class numeric
@attribute group {0,1}
@data
11,3.3,54.959999,55,4329.330078,0
4,1.2,19.98,40,2016.439941,0
0.9,0.27,4.5,1.8,249.419998,1
2,1.2,19.98,10,1044.219971,1
2,1.8,19.98,30,1761.920044,0
2.5,1.5,24.959999,25,2028.640015,0
9.5,2.85,47.459999,19,3093.179932,0
5,1.5,16.65,10,964.52002,1
6.5,5.85,97.5,65,5782.939941,0
5,1.5,24.959999,25,2101.409912,0
2.5,0.75,12.48,25,1445,0
9.5,5.7,94.980003,95,6857.439941,0
6.5,5.85,64.980003,32.5,3730.27002,0
5,3,33.299999,75,3123.949951,0
8,7.2,79.919998,40,4482.029785,0
0.9,0.27,2.97,4.5,234.100006,1
0.5,0.45,4.95,1,127.110001,1
6.5,1.95,32.459999,97.5,3695.23999,0
2.5,1.5,16.65,37.5,1709.420044,0
2.5,1.5,16.65,12.5,1237.199951,0
0.7,0.42,6.96,7,487.100006,1
5,4.5,75,25,4150.72998,0
11,3.3,36.630001,110,4211.589844,0
0.6,0.18,6,3,323.230011,1
6.5,5.85,97.5,32.5,5265.720215,0
0.9,0.54,5.94,9,462.869995,1
1.5,1.35,14.94,15,1227.119995,0
4,2.4,26.639999,40,2246.669922,0
2,1.2,19.98,20,1572.180054,0
2,0.6,9.96,20,1099.319946,0
0.5,0.3,4.98,7.5,376.140015,1
2.5,2.25,37.5,25,2482.919922,0
2.5,0.75,12.48,12.5,1190.920044,0
0.8,0.48,7.98,8,565.47998,1
5,3,49.98,25,3092.830078,0
8,2.4,39.959999,40,3140.310059,0
0.8,0.24,7.98,4,437.399994,1
9.5,2.85,31.59,142.5,5330.52002,0
3,2.7,45,15,2559.149902,0
1.5,0.9,9.99,3,395.329987,1
1.5,1.35,22.5,15,1520.380005,0
3,2.7,45,45,3261.97998,0
0.5,0.15,2.46,7.5,227.410004,1
6.5,1.95,21.6,65,2594.909912,0
0.7,0.63,10.5,3.5,484.299988,1
6.5,3.9,43.290001,97.5,4103.22998,0
0.6,0.18,3,1.2,109.989998,1
9.5,5.7,63.27,47.5,4243.049805,0
0.7,0.21,3.48,7,319.660004,1
9.5,8.55,94.949997,47.5,5225.950195,0
3,0.9,9.99,6,579.799988,1
0.8,0.72,12,12,1148.380005,0
3,1.8,19.98,30,1816.790039,0
0.9,0.27,4.5,9,379.570007,1
4,1.2,13.32,60,2236.300049,0
0.8,0.24,3.96,1.6,217.520004,1
2.5,1.5,24.959999,37.5,2154.899902,0
8,2.4,26.639999,80,3060.629883,0
0.6,0.36,12,3,526.72998,1
0.8,0.48,15.99,12,1353.199951,0
0.6,0.54,18,3,794.400024,1
0.8,0.48,5.31,4,294.75,1
4,3.6,39.959999,40,2868.23999,0
4,3.6,60,20,3332.790039,0
6.5,1.95,32.459999,97.5,3730.179932,0
2.5,0.75,8.28,37.5,1528.73999,0
0.8,0.24,3.96,12,750.169983,1
2,0.6,6.66,10,505.429993,1
6.5,3.9,43.290001,32.5,2888.719971,0
0.7,0.42,6.96,3.5,340.540009,1
0.5,0.15,2.46,2.5,176.240005,1
9.5,5.7,63.27,95,5092.080078,0
0.5,0.45,15,5,697.349976,1
0.5,0.45,15,1,353.850006,1
0.7,0.21,3.48,7,265.140015,1
2,1.8,19.98,10,1001.859985,1
5,3,33.299999,10,1676.670044,0
0.6,0.54,9,6,432.720001,1
2.5,2.25,37.5,12.5,2195.280029,0
3,1.8,30,15,1902.119995,0
2.5,2.25,24.93,12.5,1596.569946,0
11,6.6,73.260002,22,4189.919922,0
4,3.6,39.959999,40,2852.27002,0
0.8,0.48,15.99,1.6,673.890015,1
5,1.5,24.959999,10,1445.380005,0
0.8,0.48,15.99,4,731.48999,1
2,1.8,30,20,1901.369995,0
0.7,0.21,6.99,1.4,198.949997,1
0.7,0.42,6.96,3.5,328.23999,1
3,2.7,29.969999,30,2266.25,0
9.5,2.85,47.459999,47.5,3869.590088,0
2.5,0.75,12.48,12.5,1140.849976,0
2.5,1.5,16.65,25,1559.089966,0
3,1.8,19.98,30,1815.939941,0
0.6,0.18,1.98,9,237.649994,1
2,1.8,19.98,4,730.799988,1
9.5,2.85,47.459999,142.5,5818.629883,0
0.6,0.36,12,1.2,271.980011,1
1.5,0.9,9.99,7.5,459.450012,1
0.5,0.3,3.33,2.5,182.470001,1
0.9,0.54,18,9,880.409973,1
0.8,0.48,15.99,4,728.359985,1
9.5,8.55,94.949997,142.5,7632.910156,0
9.5,2.85,31.59,47.5,2800.080078,0
0.9,0.27,4.5,13.5,788.179993,1
5,4.5,75,75,5174.720215,0
0.7,0.63,10.5,10.5,1050.199951,1
2.5,0.75,8.28,37.5,1469.290039,0
9.5,5.7,94.980003,142.5,8153.339844,0
0.8,0.72,12,12,1152.689941,0
5,4.5,49.950001,25,2995.179932,0
11,6.6,73.260002,110,5925.27002,0
0.6,0.36,3.96,9,345.480011,1
3,0.9,9.99,6,462,1
0.5,0.3,9.99,1,233.259995,1
6.5,5.85,64.980003,65,4576.02002,0
3,1.8,30,15,1902.439941,0
2.5,0.75,12.48,37.5,1560.27002,0
0.9,0.27,2.97,9,345.700012,1
6.5,1.95,21.6,97.5,3430.02002,0
0.8,0.24,7.98,12,1014.51001,1
2,1.8,30,10,1470.969971,0
0.8,0.24,2.64,12,709.52002,1
3,0.9,15,30,1633.089966,0
0.5,0.15,1.64,5,167,1
5,1.5,16.65,75,2653.48999,0
5,4.5,75,50,4583.850098,0
0.8,0.24,2.64,8,268.920013,1
1.5,0.9,9.99,15,970.98999,1
0.6,0.36,12,9,638.51001,1
2.5,0.75,12.48,25,1417.73999,0
0.6,0.36,6,3,289.850006,1
8,2.4,39.959999,40,3139.080078,0
0.9,0.27,4.5,4.5,293.519989,1
6.5,3.9,43.290001,32.5,2976.199951,0
0.7,0.63,6.93,1.4,181.449997,1
0.5,0.15,4.98,1,167.029999,1
2,1.2,19.98,10,1071.109985,0
4,2.4,26.639999,60,2601.669922,0
0.7,0.21,6.99,10.5,954.599976,1
5,1.5,24.959999,25,2171.659912,0
0.8,0.48,15.99,8,959.710022,1
9.5,5.7,63.27,142.5,6355.629883,0
6.5,3.9,43.290001,13,2522.219971,0
0.6,0.18,3,9,297.279999,1
9.5,8.55,142.5,95,8546.030273,0
9.5,2.85,47.459999,95,4654.600098,0
2,0.6,6.66,20,920.830017,1
3,0.9,15,45,1856.199951,0
6.5,1.95,32.459999,65,3178.389893,0
0.5,0.45,15,5,689.130005,1
6.5,1.95,21.6,65,2564.090088,0
0.5,0.45,15,2.5,635.619995,1
6.5,5.85,97.5,65,5782.339844,0
5,4.5,75,50,4514.490234,0
0.8,0.24,2.64,1.6,149.75,1
0.7,0.63,6.93,1.4,193.169998,1
0.5,0.45,4.95,1,127.050003,1
0.7,0.63,6.93,3.5,319.959991,1
3,1.8,19.98,45,2069.47998,0
3,1.8,30,30,2332.27002,0
0.5,0.15,1.64,1,64.470001,1
3,0.9,9.99,45,1703.150024,0
0.9,0.27,9,1.8,254.690002,1
0.9,0.27,9,13.5,1132.910034,0
1.5,1.35,22.5,22.5,1829.890015,0
