@relation wizmir
@attribute Max_temperature numeric
@attribute Min_temperature numeric
@attribute Dewpoint numeric
@attribute Precipitation numeric
@attribute Sea_level_pressure numeric
@attribute Standard_pressure numeric
@attribute Visibility numeric
@attribute Wind_speed numeric
@attribute Max_wind_speed numeric
@attribute class numeric
@attribute group {0,1}
@data
88.2,57.2,53.6,0,29.96,7.3,9.09,16.1,34.28,74.3,0
88,58.6,54.9,0,29.84,7.3,10.7,18.3,34.28,75.2,0
91.6,62.1,60.4,0,29.76,7.2,8.29,18.3,34.28,76.1,0
64.4,42.8,37.4,0.2,30.15,7.8,21.1,27.5,34.28,47.1,1
94.1,72.3,46.8,0,29.86,7.2,17.2,25.3,34.28,83.9,0
81.3,62.6,37.4,0,30.01,6.8,21.2,27.5,34.28,70.8,0
62.6,53.6,51.4,0.2,29.8,7.9,17,25.3,32.22,59.7,1
53.6,35.6,30.3,0,30.13,7.6,16.1,20.8,34.28,44.9,1
53.4,44.1,45.4,0,29.97,7.7,9.09,16.1,34.28,47.8,1
91.4,59.9,54.1,0,29.79,7.3,7.37,20.8,34.28,77.8,0
61.2,45.3,43.8,0.6,29.94,7.8,9.67,16.1,34.28,53.7,1
47.1,32.9,27.4,0,29.95,7.3,16.6,25.3,29.92,40.1,1
101,69.4,57.9,0,29.76,7.3,6.44,16.1,34.28,85.5,0
72.3,42.6,42.6,0,30.02,7.2,7.02,16.1,34.28,57.4,1
42.8,33.8,27.6,0,29.73,7.1,28.6,34.4,50.52,36.9,1
71.6,46.4,49.1,0,30.12,7.4,4.49,9.21,34.28,58.5,1
85.5,47.8,47.4,0,30.09,7.3,4.37,16.1,34.28,64.7,0
59.4,39.9,46.5,0.8,29.89,7.8,10,16.1,34.28,50.1,1
46.6,41,40.3,0.2,30.28,6.2,9.55,18.3,34.28,43.7,1
60.8,34.2,37,0,29.97,7.8,2.65,9.21,34.28,47.4,1
100,65.5,56.5,0,29.87,7.3,7.6,18.3,34.28,83.2,0
59.2,51.3,51.6,0.3,29.72,7.8,5.64,9.21,34.28,54.3,1
46.4,30.2,28.1,0.1,30.12,7.3,10.8,20.8,34.28,36.9,1
74.5,48.2,59.8,0.1,30.08,7.6,6.56,18.3,34.28,63.2,0
73.4,50,46.2,0,30.07,7.2,14,23,34.28,61.2,0
52.2,40.8,42.4,0.1,29.66,4.9,7.94,13.8,34.28,46.3,1
77,62.6,58.8,0.09,29.82,7.9,11.8,18.3,34.28,69.6,0
50,37.2,30.9,0,30.17,7.3,18.9,57.4,34.28,42,1
75.9,51.1,53.7,0,29.8,7.3,9.09,23,34.28,63.5,0
94.1,71.4,51.3,0,29.77,7.1,15.5,23,34.28,83,0
79.3,43.2,58.4,0,29.93,7.2,8.75,16.1,34.28,66.5,0
50,38.1,32.2,0,30.07,7.7,16.6,25.3,34.28,43.7,1
93.2,66.7,50.8,0,29.72,7,13.6,27.5,34.28,81.5,0
87.8,61.7,61,0,29.95,7.2,5.75,16.1,34.28,73.6,0
86,60.8,59.2,0,29.89,7.3,12.7,23,34.28,76.8,0
64.4,46.4,47.7,0,29.96,7.5,11.8,18.3,34.28,56.1,1
57.4,37.4,32,0,30.01,7.1,12.6,20.8,34.28,47.9,1
51.8,42.8,42,0,30.04,7.7,13.2,18.3,34.28,48,1
64.4,47.7,45.8,0,30.08,7.3,13.3,20.8,34.28,56.1,1
88.9,70,54.6,0,29.91,7,16.5,23,34.28,79.8,0
95.2,75.4,62.8,0,29.83,7.4,16.9,23,34.28,85.4,0
54,44.6,35.7,0,30.06,7.6,24.2,59.7,34.28,48.4,1
83.1,66.2,57.6,0,29.92,7.4,19.1,23,34.41,74.1,0
83.5,56.5,52.9,0,30.01,7.1,4.83,11.3,34.28,69.9,0
48.4,39.7,35.3,0.1,29.95,7.3,12.7,25.3,34.28,43.3,1
47.8,35.8,31.9,0.6,29.97,7.6,19.9,27.5,39.13,41.3,1
48.2,34.9,35,0.1,30.04,7.7,8.29,16.1,34.28,42,1
46.4,33.8,27.8,0,30.24,7.7,13.4,20.8,34.28,38.8,1
60.8,42.8,46.8,0,30.2,7.5,4.83,9.21,34.28,50.5,1
84.2,55.2,54.2,0,29.77,7.7,10.3,20.8,34.28,69.9,0
86.9,65.7,55.4,0,29.97,7.6,6.33,13.8,34.28,74.2,0
92.1,61.7,44.5,0,29.82,7.8,5.52,13.8,34.28,75.5,0
86.2,61.3,57.6,0.09,29.93,7.3,7.71,18.3,34.28,73.6,0
72.5,46.2,50.5,0,30.15,6.7,1.96,9.21,34.28,56.8,1
88.9,55.6,57.4,0,29.95,6.8,5.52,11.3,34.28,72.4,0
53.2,39.2,39.3,0.6,30.07,7.4,13.3,23,34.28,45.8,1
60.8,28.8,35.4,0,30.26,6.7,4.49,16.1,34.28,45,1
57.2,39.9,43.5,0.2,29.74,7.8,4.95,11.3,34.28,48.5,1
98.6,63.7,54.6,0,29.9,7.3,9.55,18.3,34.28,84.1,0
61.7,47.3,48.1,0,30.29,3.1,8.06,16.1,34.28,52.9,1
95.9,73.8,54,0,29.75,7.3,16.6,25.3,32.22,85.4,0
54,29.8,34.2,0,30.18,6.4,3.57,9.21,34.28,41.2,1
53.1,37.4,41.2,0.2,30.08,7.4,5.87,13.8,34.28,45.8,1
93.9,56.8,52,0,29.89,7.3,7.37,16.1,34.28,75.5,0
60.8,45.3,42.8,0,30.01,7.2,15.4,23,34.28,52.5,1
77.9,53.1,56.5,0,29.98,7.7,5.87,13.8,34.28,65,0
55.6,42.4,44.9,0,29.96,7.6,5.64,9.21,34.28,50.4,1
70.2,53.6,48.8,0,29.94,7.6,8.63,13.8,34.28,61.9,0
68.9,48.2,44.7,0,29.8,8,15.4,25.3,34.28,58.7,1
78.8,57.2,51.3,0.1,29.87,7.4,14.6,25.3,34.28,70.3,0
63.5,45,45.7,0,29.89,7.1,11.8,18.3,34.28,53,1
102,69.3,57,0,29.83,7.5,17.9,29.9,34.28,89,0
62.6,54.1,54.1,0.1,30.09,2.5,2.88,11.3,34.28,57.1,1
79.5,57.4,58.2,2.6,29.94,7.3,11,20.8,34.28,69,0
73.4,57.2,54.6,0.2,29.67,7.8,16.1,34.4,46.03,65.5,0
66.7,48.2,45.9,0,30.18,6.7,11.6,18.3,34.28,56.4,1
93.2,70.5,49.2,0,29.76,7.3,15.7,20.8,34.28,83.1,0
53.1,39.4,41.4,0,30.23,7.3,6.21,13.8,34.28,46.4,1
52.9,42.8,40.3,0,29.67,7.6,16.6,23,34.28,46.6,1
68,44.6,44.5,0,30.31,6.7,12.5,23,34.28,56.7,1
56.5,51.6,52.9,0.4,29.88,4,7.94,16.1,34.28,54.5,1
55.6,30.2,35,0,30.28,7.8,1.61,4.72,34.28,42.2,1
76.3,50,54.4,0,29.74,7.1,6.1,16.1,34.28,64.4,0
85.3,65.1,54.2,0,29.86,7.5,19.5,23,34.28,72.9,0
73.6,53.6,45.2,0,30.12,7.1,14.6,23,34.28,62.6,0
50.9,39.2,34.6,0,30.17,7.2,20,29.9,34.28,44.6,1
