@relation machine
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric
@attribute group {0,1}
@data
125,256,6000,256,16,128,198,0
29,8000,32000,32,8,32,269,0
29,8000,32000,32,8,32,220,0
29,8000,32000,32,8,32,172,0
29,8000,16000,32,8,16,132,0
26,8000,32000,64,8,32,318,0
23,16000,32000,64,16,32,367,0
23,16000,32000,64,16,32,489,0
23,16000,64000,64,16,32,636,0
23,32000,64000,128,32,64,1144,0
400,1000,3000,0,1,2,38,1
400,512,3500,4,1,6,40,1
60,2000,8000,65,1,8,92,0
50,4000,16000,65,1,8,138,0
350,64,64,0,1,4,10,1
200,512,16000,0,4,32,35,1
167,524,2000,8,4,15,19,1
143,512,5000,0,7,32,28,1
143,1000,2000,0,5,16,31,1
110,5000,5000,142,8,64,120,0
143,1500,6300,0,5,32,30,1
143,3100,6200,0,5,20,33,1
143,2300,6200,0,6,64,61,0
110,3100,6200,0,6,64,76,0
320,128,6000,0,1,12,23,1
320,512,2000,4,1,3,69,0
320,256,6000,0,1,6,33,1
320,256,3000,4,1,3,27,1
320,512,5000,4,1,5,77,0
320,256,5000,4,1,6,27,1
25,1310,2620,131,12,24,274,0
25,1310,2620,131,12,24,368,0
50,2620,10480,30,12,24,32,1
50,2620,10480,30,12,24,63,0
56,5240,20970,30,12,24,106,0
64,5240,20970,30,12,24,208,0
50,500,2000,8,1,4,20,1
50,1000,4000,8,1,5,29,1
50,2000,8000,8,1,5,71,0
50,1000,4000,8,3,5,26,1
50,1000,8000,8,3,5,36,1
50,2000,16000,8,3,5,40,1
50,2000,16000,8,3,6,52,0
50,2000,16000,8,3,6,60,0
133,1000,12000,9,3,12,72,0
133,1000,8000,9,3,12,72,0
810,512,512,8,1,1,18,1
810,1000,5000,0,1,1,20,1
320,512,8000,4,1,5,40,1
200,512,8000,8,1,8,62,0
700,384,8000,0,1,1,24,1
700,256,2000,0,1,1,24,1
140,1000,16000,16,1,3,138,0
200,1000,8000,0,1,2,36,1
110,1000,4000,16,1,2,26,1
110,1000,12000,16,1,2,60,0
220,1000,8000,16,1,2,71,0
800,256,8000,0,1,4,12,1
800,256,8000,0,1,4,14,1
800,256,8000,0,1,4,20,1
800,256,8000,0,1,4,16,1
800,256,8000,0,1,4,22,1
125,512,1000,0,8,20,36,1
75,2000,8000,64,1,38,144,0
75,2000,16000,64,1,38,144,0
75,2000,16000,128,1,38,259,0
90,256,1000,0,3,10,17,1
105,256,2000,0,3,10,26,1
105,1000,4000,0,3,24,32,1
105,2000,4000,8,3,19,32,1
75,2000,8000,8,3,24,62,0
75,3000,8000,8,3,48,64,0
175,256,2000,0,3,24,22,1
300,768,3000,0,6,24,36,1
300,768,3000,6,6,24,44,1
300,768,12000,6,6,24,50,0
300,768,4500,0,1,24,45,1
300,384,12000,6,1,24,53,0
300,192,768,6,6,24,36,1
180,768,12000,6,1,31,84,0
330,1000,3000,0,2,4,16,1
300,1000,4000,8,3,64,38,1
300,1000,16000,8,2,112,38,1
330,1000,2000,0,1,2,16,1
330,1000,4000,0,3,6,22,1
140,2000,4000,0,3,6,29,1
140,2000,4000,0,4,8,40,1
140,2000,4000,8,1,20,35,1
140,2000,32000,32,1,20,134,0
140,2000,8000,32,1,54,66,0
140,2000,32000,32,1,54,141,0
140,2000,32000,32,1,54,189,0
140,2000,4000,8,1,20,22,1
57,4000,16000,1,6,12,132,0
57,4000,24000,64,12,16,237,0
26,16000,32000,64,16,24,465,0
26,16000,32000,64,8,24,465,0
26,8000,32000,0,8,24,277,0
26,8000,16000,0,8,16,185,0
480,96,512,0,1,1,6,1
203,1000,2000,0,1,5,24,1
115,512,6000,16,1,6,45,1
1100,512,1500,0,1,1,7,1
1100,768,2000,0,1,1,13,1
600,768,2000,0,1,1,16,1
400,2000,4000,0,1,1,32,1
400,4000,8000,0,1,1,32,1
900,1000,1000,0,1,2,11,1
900,512,1000,0,1,2,11,1
900,1000,4000,4,1,2,18,1
900,1000,4000,8,1,2,22,1
900,2000,4000,0,3,6,37,1
225,2000,4000,8,3,6,40,1
225,2000,4000,8,3,6,34,1
180,2000,8000,8,1,6,50,0
185,2000,16000,16,1,6,76,0
180,2000,16000,16,1,6,66,0
225,1000,4000,2,3,6,24,1
25,2000,12000,8,1,4,49,1
25,2000,12000,16,3,5,66,0
17,4000,16000,8,6,12,100,0
17,4000,16000,32,6,12,133,0
1500,768,1000,0,0,0,12,1
1500,768,2000,0,0,0,18,1
800,768,2000,0,0,0,20,1
50,2000,4000,0,3,6,27,1
50,2000,8000,8,3,6,45,1
50,2000,8000,8,1,6,56,0
50,2000,16000,24,1,6,70,0
50,2000,16000,24,1,6,80,0
50,8000,16000,48,1,10,136,0
100,1000,8000,0,2,6,16,1
100,1000,8000,24,2,6,26,1
100,1000,8000,24,3,6,32,1
50,2000,16000,12,3,16,45,1
50,2000,16000,24,6,16,54,0
50,2000,16000,24,6,16,65,0
150,512,4000,0,8,128,30,1
115,2000,8000,16,1,3,50,0
115,2000,4000,2,1,5,40,1
92,2000,8000,32,1,6,62,0
92,2000,8000,32,1,6,60,0
92,2000,8000,4,1,6,50,0
75,4000,16000,16,1,6,66,0
60,4000,16000,32,1,6,86,0
60,2000,16000,64,5,8,74,0
60,4000,16000,64,5,8,93,0
50,4000,16000,64,5,10,111,0
72,4000,16000,64,8,16,143,0
72,2000,8000,16,6,8,105,0
40,8000,16000,32,8,16,214,0
40,8000,32000,64,8,24,277,0
35,8000,32000,64,8,24,370,0
38,16000,32000,128,16,32,510,0
48,4000,24000,32,8,24,214,0
38,8000,32000,64,8,24,326,0
30,16000,32000,256,16,24,510,0
112,1000,1000,0,1,4,8,1
84,1000,2000,0,1,6,12,1
56,1000,4000,0,1,6,17,1
56,2000,6000,0,1,8,21,1
56,2000,8000,0,1,8,24,1
56,4000,8000,0,1,8,34,1
56,4000,12000,0,1,8,42,1
56,4000,16000,0,1,8,46,1
38,4000,8000,32,16,32,51,0
38,4000,8000,32,16,32,116,0
38,8000,16000,64,4,8,100,0
38,8000,24000,160,4,8,140,0
38,4000,16000,128,16,32,212,0
200,1000,2000,0,1,2,25,1
200,1000,4000,0,1,4,30,1
200,2000,8000,64,1,5,41,1
250,512,4000,0,1,7,25,1
250,512,4000,0,4,7,50,0
250,1000,16000,1,1,8,50,0
160,512,4000,2,1,5,30,1
160,512,2000,2,3,8,32,1
160,1000,4000,8,1,14,38,1
160,1000,8000,16,1,14,60,0
160,2000,8000,32,1,13,109,0
