@relation mbagrade
@attribute sex {'0','1'}
@attribute GMAT numeric
@attribute class numeric
@attribute group {0,1}
@data
'0',590,3.252,1
'0',550,3.329,0
'1',680,3.319,1
'0',520,3.133,1
'0',560,2.986,1
'0',540,3.505,0
'1',500,2.648,1
'1',600,3.09,1
'0',440,3.205,1
'0',680,3.876,0
'0',520,3.376,0
'0',610,3.667,0
'0',490,3.195,1
'0',620,2.957,1
'0',580,3.114,1
'0',600,2.968,1
'1',420,2.533,1
'0',590,3.324,0
'0',570,3.681,0
'0',640,3.757,0
'0',540,3.481,0
'0',530,3.457,0
'0',660,3.89,0
'0',540,3.586,0
'0',570,3.433,0
'0',710,3.613,0
'0',450,2.733,1
'1',480,2.755,1
'0',650,2.643,1
'0',580,3.535,0
'1',630,3.256,1
'0',590,3.557,0
'1',550,2.985,1
'1',590,3.1,1
'1',610,3.238,1
'0',490,3.235,1
'0',600,3.633,0
'0',570,3.225,1
'0',580,3.225,1
'0',520,3.376,0
'0',610,3.379,0
'0',620,3.393,0
'0',530,3.224,1
'0',670,3.776,0
'0',550,3.367,0
'0',530,3.148,1
'1',500,3.267,1
'0',570,3.905,0
'0',570,2.829,1
'1',640,3.338,0
'0',600,3.329,0
'0',550,3.381,0
'0',720,3.476,0
'1',570,3.005,1
'0',570,2.819,1
'1',610,3.362,0
'0',530,2.976,1
'0',720,3.72,0
'0',580,3.409,0
'0',610,2.835,1
'0',470,3.905,0
