@relation bolts
@attribute RUN numeric
@attribute SPEED1 numeric
@attribute TOTAL numeric
@attribute SPEED2 numeric
@attribute NUMBER2 numeric
@attribute SENS numeric
@attribute TIME numeric
@attribute class numeric
@attribute group {0,1}
@data
25,2,10,1.5,0,6,5.7,11.4,1
24,2,10,1.5,0,10,17.56,35.12,0
30,2,10,1.5,2,6,11.28,22.56,0
2,2,10,1.5,2,10,8.39,16.78,1
40,2,10,2.5,0,6,16.67,33.34,0
37,2,10,2.5,0,10,12.04,24.08,0
16,2,10,2.5,2,6,9.22,18.44,1
22,2,10,2.5,2,10,3.94,7.88,1
33,2,30,1.5,0,6,27.02,18.01,1
17,2,30,1.5,0,10,19.46,12.97,1
28,2,30,1.5,2,6,18.54,12.36,1
27,2,30,1.5,2,10,25.7,17.13,1
14,2,30,2.5,0,6,19.02,12.68,1
13,2,30,2.5,0,10,22.39,14.93,1
4,2,30,2.5,2,6,23.85,15.9,1
21,2,30,2.5,2,10,30.12,20.08,0
23,6,10,1.5,0,6,13.42,26.84,0
35,6,10,1.5,0,10,34.26,68.52,0
19,6,10,1.5,2,6,39.74,79.48,0
34,6,10,1.5,2,10,10.6,21.2,0
31,6,10,2.5,0,6,28.89,57.78,0
9,6,10,2.5,0,10,35.61,71.22,0
38,6,10,2.5,2,6,17.2,34.4,0
15,6,10,2.5,2,10,6,12,1
39,6,30,1.5,0,6,129.45,86.3,0
8,6,30,1.5,0,0,107.38,71.59,0
26,6,30,1.5,2,6,111.66,74.44,0
11,6,30,1.5,2,0,109.1,72.73,0
6,6,30,2.5,0,6,100.43,66.95,0
20,6,30,2.5,0,0,109.28,72.85,0
10,6,30,2.5,2,6,106.46,70.97,0
32,6,30,2.5,2,0,134.01,89.34,0
1,4,20,2,1,8,10.78,10.78,1
3,4,20,2,1,8,9.39,9.39,1
5,4,20,2,1,8,9.84,9.84,1
7,4,20,2,1,8,13.94,13.94,1
12,4,20,2,1,8,12.33,12.33,1
18,4,20,2,1,8,7.32,7.32,1
29,4,20,2,1,8,7.91,7.91,1
36,4,20,2,1,8,15.58,15.58,1
