@relation elusage
@attribute average_temperature numeric
@attribute month {'1','10','11','12','2','3','4','5','6','7','8','9'}
@attribute class numeric
@attribute group {0,1}
@data
73,'8',24.828,1
67,'9',24.688,1
57,'10',19.31,1
43,'11',59.706,0
26,'12',99.667,0
41,'1',49.333,0
38,'2',59.375,0
46,'3',55.172,0
54,'4',55.517,0
60,'5',25.938,1
71,'6',20.69,1
75,'7',24.333,1
74,'8',22.759,1
66,'9',24.688,1
61,'10',22.759,1
49,'11',50.588,0
41,'12',79,0
35,'1',87.188,0
41,'2',47.333,0
42,'3',38.621,0
56,'4',27.931,1
69,'5',25,1
73,'6',17.241,1
77,'7',17,1
74,'8',22.188,1
66,'9',18.276,1
56,'10',27.241,1
47,'11',39.706,0
38,'12',81.667,0
34,'1',79.688,0
37,'2',67.667,0
39,'3',65.862,0
51,'4',54.839,0
60,'5',34.667,1
70,'6',23.448,1
73,'7',29.586,1
71,'8',32.448,1
66,'9',30.033,1
54,'10',43.586,0
45,'11',48.029,0
36,'12',52.424,0
34,'1',62.333,0
32,'2',71.156,0
39,'3',44.621,0
55,'4',19.357,1
64,'5',23.733,1
72,'6',10.414,1
79,'7',17.875,1
75,'8',24.207,1
65,'9',24.333,1
54,'10',40.935,0
48,'11',42.938,0
35,'12',65.25,0
24,'1',101.3,0
32,'2',101.66,0
