@relation ele.1
@attribute Inhabitants numeric
@attribute Distance numeric
@attribute class numeric
@attribute group {0,1}
@data
15,605,2146,0
13,696.669983,2148,0
25,443.329987,2178,0
22,373.329987,1322,1
19,340,1075,1
21,523.330017,1697,0
34,240,773,1
8,290,358,1
23,395,1614,0
9,486.670013,1092,1
41,500,2891,0
17,533.330017,1330,1
39,380,1660,0
12,165,356,1
40,290,1058,1
25,158.330002,365,1
52,398.329987,1284,1
11,316.670013,642,1
29,180,621,1
5,186.669998,389,1
56,320,1146,1
19,443.329987,1011,1
46,323.329987,1032,1
6,300,668,1
57,580,3357,0
78,813.330017,4765,0
26,590,2389,0
15,553.330017,1617,0
32,270,909,1
43,400,1671,0
39,396.670013,1720,0
11,293.329987,739,1
25,360,1087,1
28,673.330017,1723,0
57,666.669983,2553,0
20,900,2628,0
21,963.330017,1588,0
24,230,764,1
24,420,2082,0
90,341.670013,1623,0
9,366.670013,1113,1
39,326.670013,1161,1
69,443.329987,1562,0
19,623.330017,1663,0
25,433.329987,1500,0
29,373.329987,1682,0
26,365,1441,1
79,416.670013,2557,0
31,718.330017,1948,0
29,541.669983,2312,0
28,448.329987,1599,0
1,120,212,1
2,105,80,1
1,80,80,1
1,150,150,1
28,456.670013,1349,1
19,138.330002,466,1
57,211.669998,817,1
24,280,666,1
40,361.670013,1030,1
142,281.670013,1971,0
7,1000,1453,1
23,683.330017,1873,0
7,340,1284,1
2,380,737,1
41,135,811,1
26,86.669998,231,1
12,176.669998,357,1
18,713.330017,2253,0
8,526.669983,987,1
75,346.670013,1531,0
70,591.669983,3221,0
31,476.670013,1370,1
23,303.329987,1003,1
20,370,921,1
3,60,96,1
4,210,456,1
39,335,883,1
10,201.669998,574,1
47,636.669983,1409,1
8,291.670013,475,1
10,405,621,1
35,396.670013,1168,1
24,223.330002,592,1
19,510,1895,0
26,393.329987,1676,0
16,266.670013,905,1
11,213.330002,657,1
4,126.669998,392,1
34,518.330017,2470,0
27,763.330017,1799,0
27,533.330017,1192,1
21,506.670013,1730,0
38,258.329987,734,1
35,671.669983,2071,0
20,358.329987,599,1
23,493.329987,1404,1
16,738.330017,1805,0
18,716.669983,2274,0
18,128.330002,516,1
16,280,638,1
19,323.329987,657,1
45,603.330017,2225,0
11,313.329987,1141,1
16,596.669983,1108,1
10,458.329987,744,1
39,520,2199,0
32,316.670013,1036,1
33,710,1391,1
11,258.329987,913,1
92,793.330017,1855,0
40,673.330017,2145,0
44,456.670013,1834,0
15,610,1736,0
10,258.329987,432,1
34,280,733,1
3,95,123,1
18,226.669998,386,1
31,546.669983,1764,0
30,386.670013,1083,1
28,513.330017,2082,0
68,240,643,1
67,501.670013,1953,0
27,288.329987,1229,1
8,456.670013,903,1
13,733.330017,864,1
44,366.670013,1635,0
15,486.670013,1325,1
16,373.329987,1000,1
8,500,1176,1
24,350,915,1
19,775,2737,0
12,600,1898,0
15,263.329987,910,1
29,340,755,1
27,480,1491,0
22,433.329987,1706,0
25,520,1789,0
11,453.329987,897,1
5,368.329987,656,1
45,563.330017,2097,0
35,586.669983,2629,0
77,1006.669983,5932,0
14,566.669983,2797,0
15,476.670013,1336,1
26,376.670013,1803,0
15,563.330017,2010,0
42,680,3235,0
17,360,991,1
14,298.329987,1264,1
45,490,1979,0
15,278.329987,623,1
130,668.330017,5589,0
185,943.330017,6539,0
41,733.330017,3085,0
31,415,1354,1
24,783.330017,2239,0
150,573.330017,2976,0
9,116.669998,176,1
45,350,1607,0
6,480,1290,1
37,188.330002,723,1
65,336.670013,1601,0
15,501.670013,1818,0
47,480,1698,0
23,966.669983,2809,0
34,343.329987,1224,1
16,608.330017,1641,0
26,716.669983,2435,0
24,706.669983,3117,0
13,423.329987,706,1
66,846.669983,3327,0
54,913.330017,3433,0
21,363.329987,1691,0
27,198.330002,468,1
27,353.329987,1110,1
52,423.329987,1370,1
16,488.329987,1538,0
52,563.330017,2123,0
24,533.330017,2437,0
64,573.330017,2765,0
89,1013.330017,2800,0
39,293.329987,774,1
26,586.669983,2959,0
23,576.669983,1753,0
46,575,2974,0
36,283.329987,1230,1
50,476.670013,2039,0
33,165,482,1
18,460,1150,1
17,376.670013,952,1
59,783.330017,2891,0
57,503.329987,1565,0
11,633.330017,1349,1
28,193.330002,1064,1
44,390,1167,1
3,210,353,1
35,246.669998,1010,1
92,248.330002,1412,1
76,230,1140,1
48,550,1500,0
17,176.669998,498,1
42,350,1295,1
32,305,1207,1
36,776.669983,2087,0
18,376.670013,1100,1
12,420,827,1
39,181.669998,673,1
50,188.330002,605,1
13,233.330002,517,1
23,850,1670,0
37,220,895,1
43,363.329987,1181,1
59,165,413,1
21,113.330002,271,1
32,383.329987,1104,1
58,301.670013,692,1
26,496.670013,1328,1
43,193.330002,445,1
11,180,481,1
44,766.669983,2254,0
3,316.670013,840,1
4,336.670013,643,1
47,158.330002,592,1
7,356.670013,567,1
12,405,1296,1
26,245,742,1
26,481.670013,1044,1
20,616.669983,1575,0
50,400,1388,1
26,405,1296,1
13,673.330017,1671,0
14,976.669983,2465,0
9,520,1551,0
16,583.330017,1660,0
10,380,1261,1
12,446.670013,844,1
16,660,1368,1
31,373.329987,1196,1
14,415,1141,1
28,533.330017,1724,0
16,406.670013,1679,0
10,648.330017,1773,0
25,551.669983,1895,0
46,460,1421,1
6,556.669983,1364,1
41,633.330017,1776,0
9,191.669998,353,1
13,298.329987,500,1
39,238.330002,554,1
47,426.670013,1015,1
16,753.330017,2857,0
25,253.330002,835,1
28,261.670013,660,1
54,515,1471,1
11,495,828,1
59,633.330017,1981,0
9,261.670013,993,1
9,115,126,1
6,85,132,1
29,136.669998,421,1
9,135,346,1
24,395,505,1
46,1115,1788,0
15,426.670013,1047,1
13,490,1478,1
30,863.330017,2684,0
22,271.670013,1046,1
70,250,1285,1
52,441.670013,1987,0
75,410,1528,0
44,563.330017,2346,0
29,890,5401,0
32,991.669983,3000,0
41,893.330017,4595,0
41,926.669983,3552,0
18,856.669983,4437,0
27,923.330017,4820,0
29,1200,3985,0
9,590,1489,1
21,516.669983,2478,0
15,713.330017,1894,0
25,756.669983,2972,0
56,816.669983,4879,0
51,1018.330017,3977,0
6,490,856,1
16,1673.329956,3729,0
41,613.330017,3898,0
19,723.330017,3157,0
30,1180,4712,0
12,366.670013,804,1
36,718.330017,2603,0
27,751.669983,4210,0
48,728.330017,5384,0
13,513.330017,1478,1
70,250,1285,1
18,636.669983,1972,0
10,611.669983,2350,0
23,1271.670044,1946,0
92,458.329987,1733,0
58,365,2064,0
97,225,1509,0
31,633.330017,1422,1
18,716.669983,1430,1
35,330,1084,1
37,860,2470,0
19,280,469,1
36,223.330002,567,1
12,536.669983,1064,1
18,396.670013,1174,1
16,556.669983,1590,0
26,603.330017,2748,0
27,550,1688,0
51,405,1956,0
17,276.670013,839,1
63,295,1466,1
91,996.669983,2702,0
17,720,1417,1
4,646.669983,948,1
111,370,1025,1
16,126.669998,534,1
36,305,1147,1
14,893.330017,2765,0
7,211.669998,375,1
45,451.670013,1345,1
67,1050,4070,0
80,1166.670044,3430,0
63,645,2930,0
125,706.669983,4115,0
37,923.330017,3200,0
51,975,3210,0
29,653.330017,2745,0
40,876.669983,3215,0
150,1050,7675,0
61,686.669983,3605,0
22,620,1535,0
83,758.330017,2120,0
86,873.330017,2810,0
77,560,1880,0
320,880,3090,0
147,1270,3570,0
36,945,2160,0
15,318.329987,665,1
55,420,1520,0
22,556.669983,2216,0
89,1360,4845,0
84,716.669983,3362,0
90,963.330017,5990,0
30,571.669983,2110,0
39,533.330017,2560,0
38,426.670013,2608,0
52,546.669983,2362,0
28,936.669983,2160,0
17,295,970,1
24,680,1680,0
78,675,2594,0
46,390,1176,1
20,313.329987,826,1
55,736.669983,2916,0
59,796.669983,4610,0
200,596.669983,3302,0
55,343.329987,1396,1
19,316.670013,1042,1
42,573.330017,2522,0
69,853.330017,5009,0
20,463.329987,1360,1
30,300,764,1
52,1123.329956,2136,0
16,606.669983,1936,0
47,983.330017,4016,0
14,423.329987,1360,1
27,613.330017,3064,0
15,650,1982,0
71,363.329987,1726,0
77,490,2684,0
43,473.329987,2000,0
69,466.670013,3096,0
39,380,2300,0
25,506.670013,1694,0
15,336.670013,1130,1
7,546.669983,1370,1
41,346.670013,1942,0
67,826.669983,3380,0
34,508.329987,1835,0
62,1370,4750,0
10,266.670013,860,1
19,436.670013,670,1
7,463.329987,862,1
18,736.669983,1130,1
31,700,2090,0
18,323.329987,890,1
16,203.330002,625,1
14,216.669998,710,1
6,136.669998,160,1
83,460,1885,0
55,308.329987,2055,0
12,323.329987,1357,1
24,466.670013,1739,0
19,533.330017,908,1
22,198.330002,533,1
55,510,2291,0
58,553.330017,2771,0
8,330,513,1
24,540,1936,0
27,223.330002,384,1
29,386.670013,1277,1
16,223.330002,498,1
11,356.670013,1207,1
76,863.330017,3411,0
79,430,2521,0
16,603.330017,1605,0
14,326.670013,980,1
44,143.330002,570,1
20,370,1144,1
5,160,404,1
25,346.670013,1276,1
35,736.669983,2686,0
85,400,1532,0
30,790,2257,0
23,600,2124,0
25,313.329987,1051,1
26,423.329987,1362,1
16,203.330002,496,1
51,631.669983,1837,0
29,461.670013,2142,0
8,60,118,1
46,460,1534,0
13,408.329987,1210,1
103,433.329987,1840,0
29,156.669998,675,1
17,295,823,1
39,290,542,1
57,405,1241,1
65,596.669983,2674,0
40,450,1663,0
79,576.669983,2702,0
30,446.670013,1868,0
17,420,622,1
20,836.669983,1535,0
19,323.329987,1124,1
9,171.669998,390,1
12,351.670013,1019,1
59,471.670013,1336,1
18,330,822,1
15,205,374,1
42,756.669983,2134,0
52,673.330017,2898,0
8,346.670013,1187,1
19,173.330002,484,1
9,516.669983,1559,0
46,1106.670044,2651,0
35,1016.669983,4046,0
49,736.669983,4486,0
54,681.669983,3731,0
21,640,1998,0
21,473.329987,2139,0
15,806.669983,2610,0
34,1095,4673,0
20,346.670013,1287,1
23,953.330017,2515,0
28,268.329987,1003,1
86,455,2260,0
16,333.329987,686,1
9,476.670013,2452,0
12,213.330002,616,1
25,368.329987,942,1
25,195,528,1
39,416.670013,1460,1
27,460,1723,0
37,466.670013,1143,1
126,690,1987,0
36,915,1571,0
21,466.670013,1002,1
30,380,1206,1
141,966.669983,6465,0
63,830,3330,0
55,1006.669983,4880,0
200,506.670013,3310,0
60,755,2305,0
74,613.330017,1675,0
22,433.329987,1704,0
108,611.669983,2764,0
19,363.329987,1190,1
10,473.329987,844,1
45,453.329987,1698,0
55,830,4268,0
46,663.330017,2206,0
39,500,1232,1
13,763.330017,2289,0
70,423.329987,2754,0
18,593.330017,2426,0
36,573.330017,2275,0
23,473.329987,814,1
22,923.330017,1780,0
12,306.670013,1023,1
