@relation meta
@attribute DS_Name {'Aust_Credit','Belgian','BT','Chromosone','Credit','CUT','Diabetes','Digits','DNA','Faults','German_Credit','Head','Heart','KlDigits','Letters','NewBelgian','SatImage','Segment','Shuttle','Technical','TseTse','Vehicle'}
@attribute T numeric
@attribute N numeric
@attribute p numeric
@attribute k numeric
@attribute Bin numeric
@attribute Cost numeric
@attribute Sdratio numeric
@attribute correl numeric
@attribute cancor1 numeric
@attribute cancor2 numeric
@attribute fract1 numeric
@attribute fract2 numeric
@attribute skewness numeric
@attribute kurtosis numeric
@attribute Hc numeric
@attribute Hx numeric
@attribute MCx numeric
@attribute EnAtr numeric
@attribute NSRatio numeric
@attribute ALG_Name {'Ac2','Alloc80','BackProp','Bayes','BayesTree','C4.5','Cal5','CART','Cascade','Castle','Cn2','Default','Dipol92','Discrim','IndCART','ITrule','KNN','Kohonen','LogDisc','LVQ','NewId','QuaDisc','RBF','Smart'}
@attribute class numeric
@attribute group {0,1}
@data
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'Ac2',3.893,1
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'Alloc80',5.45,1
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'BackProp',1.791,1
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'Bayes',1.557,1
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'BayesTree',3.114,1
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'C4.5',1.868,1
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'CART',1.09,1
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'Cal5',0,1
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'Cascade',67.655,0
'Aust_Credit',690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.771681,19.364602,'Castle',1.324,1
