@relation dee
@attribute Hydroelectric numeric
@attribute Nuclear numeric
@attribute Coal numeric
@attribute Fuel numeric
@attribute Gas numeric
@attribute Special numeric
@attribute class numeric
@attribute group {0,1}
@data
179183,175973,78429.1,4680.73,8117.13,8023,1.7328,1
206035,186774,79129.5,4342.43,5715.18,8159,1.5835,1
198435,180633,64465.2,4566.84,0,8215,1.50531,1
187029,171382,51913.4,5342.54,0,8346,0.955205,1
199096,168691,126091,13155.7,24428,8525,1.87965,1
196005,174005,163366,18572,35587.1,8751,2.17647,1
191098,169601,171592,24518.3,33458.4,8875,2.21565,1
190729,176396,170338,27696.3,28071.3,8986,2.27647,1
178383,175790,126510,4953.62,0,9159,1.63666,1
188784,160203,188728,32188.3,11956.1,9031,3.28635,0
177317,153273,202543,57812.1,7251.62,8577,2.34107,1
180454,162188,211183,55388,9908.5,8269,3.67201,0
177753,168362,215844,45232.2,10296.6,8079,4.08083,0
145519,175426,177686,1568.88,11043.8,7347,1.76612,1
158115,175634,181930,16199.3,19897.6,7652,1.90918,1
156817,174604,188411,24222.8,20350.5,5307,2.1768,1
169131,183613,177847,23634.3,19479.5,6839,2.01582,1
173246,178497,170487,16439.5,18514,6532,1.97025,1
159149,175571,103228,3741.2,1147.85,8546,1.21431,1
172992,187105,152094,17147.2,16824.6,7362,3.03418,0
170866,180046,156710,16183.3,17754,7808,1.1095,1
180700,165416,151031,14308.8,18351.4,7845,1.84856,1
183148,149012,175547,13843.4,21271.8,8307,1.96111,1
172546,150002,179549,28671.3,28052.5,9787,3.28301,0
162730,146965,165217,12339.5,13109.5,10149,2.28642,1
173086,161469,175422,24027.3,24311.6,10603,2.95668,0
166952,168409,170413,23254.4,26678.5,10218,1.9168,1
168903,172762,172683,25134.6,27476.4,10078,2.19677,1
175066,172162,173109,21701.9,29528.9,9046,2.78725,0
177566,168075,179508,19331.8,33001.3,9780,2.48464,1
164649,166545,154624,9638.12,13303.7,10234,2.17373,1
149702,175063,138467,5525.03,11007.9,10714,1.93015,1
