@RELATION RapidMinerData

@ATTRIBUTE 'seismic' {'a','b'}
@ATTRIBUTE 'seismoacoustic' {'a','b','c'}
@ATTRIBUTE 'shift' {'W','N'}
@ATTRIBUTE 'genergy' real
@ATTRIBUTE 'gimpuls' real
@ATTRIBUTE 'goenergy' real
@ATTRIBUTE 'goimpuls' real
@ATTRIBUTE 'ghazard' {'a','b','c'}
@ATTRIBUTE 'nbumps' real
@ATTRIBUTE 'nbumps2' real
@ATTRIBUTE 'nbumps3' real
@ATTRIBUTE 'nbumps4' real
@ATTRIBUTE 'nbumps5' real
@ATTRIBUTE 'nbumps6' real
@ATTRIBUTE 'nbumps7' real
@ATTRIBUTE 'nbumps89' real
@ATTRIBUTE 'senergy' real
@ATTRIBUTE 'maxenergy' real
@ATTRIBUTE 'class' {'0','1'}

@DATA
'a','a','W',247620.0,675.0,4.0,25.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,'0'
'a','a','W',368340.0,1325.0,-28.0,-4.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,'0'
'a','a','N',58850.0,236.0,-73.0,-74.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'b','a','W',993080.0,3023.0,49.0,56.0,'a',3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,70800.0,40000.0,'1'
'a','a','N',65250.0,450.0,-74.0,-70.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'1'
'b','b','W',122410.0,902.0,8.0,9.0,'a',3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3600.0,3000.0,'1'
'a','a','W',44080.0,339.0,-22.0,11.0,'a',2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3700.0,3000.0,'0'
'b','a','W',117120.0,1095.0,-22.0,-24.0,'a',3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5700.0,4000.0,'0'
'a','a','W',15170.0,414.0,-56.0,-54.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','W',38230.0,835.0,61.0,63.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',18820.0,299.0,75.0,24.0,'a',1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,'0'
'a','b','N',5940.0,182.0,-41.0,-21.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','a','N',5480.0,223.0,-21.0,27.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
'a','b','W',29990.0,354.0,79.0,35.0,'a',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,'0'
'a','b','N',8190.0,325.0,-13.0,3.0,'a',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'0'
