@relation unemployed
@attribute birth numeric
@attribute survival_time numeric
@attribute survival_status numeric
@attribute nation {'foreign','german'}
@attribute gender {'female','male'}
@attribute age {'middle','old','young'}
@attribute training {'no','yes'}
@attribute university {'no','yes'}
@attribute group {'1','2'}
@data
136,33,0,'german','male','old','yes','no','2'
189,1,1,'foreign','female','young','no','no','1'
55,6,0,'foreign','female','middle','no','no','2'
179,9,0,'german','female','middle','yes','no','2'
125,10,1,'foreign','female','middle','no','no','2'
108,36,0,'german','male','old','yes','no','2'
207,1,1,'german','male','middle','no','no','1'
172,6,0,'german','female','old','yes','no','2'
32,3,1,'german','female','young','no','no','1'
205,8,1,'foreign','male','middle','yes','no','2'
112,23,0,'german','male','old','no','no','2'
37,2,1,'foreign','male','middle','yes','no','1'
114,10,0,'foreign','female','middle','no','no','2'
128,3,1,'german','male','young','no','no','1'
129,5,1,'german','male','young','no','no','1'
182,14,0,'german','male','old','yes','no','2'
211,6,0,'foreign','female','middle','yes','no','2'
40,1,1,'german','male','young','no','no','1'
4,7,1,'german','male','young','no','no','2'
214,1,1,'german','female','young','no','no','1'
158,5,1,'german','female','middle','no','no','1'
36,36,0,'german','male','middle','yes','no','2'
37,7,1,'foreign','female','middle','no','no','2'
97,4,1,'german','female','middle','no','yes','1'
148,2,1,'foreign','female','middle','no','no','1'
52,21,1,'german','female','middle','yes','no','2'
168,1,1,'german','female','young','no','no','1'
88,21,0,'foreign','female','middle','no','no','2'
72,5,1,'german','male','middle','yes','no','1'
109,7,1,'german','male','middle','no','no','2'
178,7,0,'german','male','middle','yes','no','2'
34,6,0,'german','female','young','no','no','2'
192,4,1,'foreign','male','middle','yes','no','1'
206,11,0,'foreign','male','middle','no','no','2'
108,1,1,'german','female','young','yes','no','1'
24,1,1,'german','male','middle','yes','no','1'
169,3,1,'foreign','male','middle','yes','no','1'
46,2,1,'german','female','young','no','no','1'
208,9,0,'foreign','male','middle','no','yes','2'
178,2,1,'german','male','middle','yes','no','1'
104,8,1,'german','male','middle','yes','no','2'
177,18,1,'foreign','male','middle','no','no','2'
124,12,0,'german','female','old','yes','no','2'
145,12,0,'german','male','middle','yes','no','2'
197,20,0,'german','male','middle','yes','no','2'
20,15,0,'foreign','female','middle','yes','no','2'
190,27,0,'foreign','female','middle','no','no','2'
195,17,1,'german','male','middle','yes','no','2'
13,3,1,'german','male','middle','yes','no','1'
8,8,0,'german','male','young','yes','no','2'
166,1,1,'german','female','middle','yes','no','1'
15,8,0,'german','male','middle','yes','no','2'
5,8,0,'foreign','male','young','no','no','2'
22,10,0,'german','female','middle','yes','no','2'
80,1,1,'german','male','young','yes','no','1'
113,19,1,'german','female','middle','yes','no','2'
78,4,1,'german','male','middle','yes','no','1'
55,1,1,'german','male','middle','yes','no','1'
157,2,1,'german','female','old','yes','no','1'
148,12,1,'foreign','male','middle','yes','no','2'
181,36,0,'foreign','female','middle','no','no','2'
206,11,0,'german','female','young','no','no','2'
137,8,0,'german','male','middle','yes','yes','2'
199,12,0,'german','male','old','yes','no','2'
171,26,0,'german','female','middle','yes','no','2'
135,8,0,'german','female','young','yes','no','2'
106,12,0,'german','male','old','yes','no','2'
168,9,0,'foreign','male','middle','no','yes','2'
7,20,0,'german','male','old','yes','no','2'
74,8,1,'german','male','middle','yes','no','2'
130,14,0,'foreign','male','middle','yes','no','2'
151,36,0,'german','male','middle','yes','no','2'
115,3,1,'foreign','male','middle','yes','no','1'
209,1,1,'german','male','young','no','no','1'
181,4,1,'german','male','young','yes','no','1'
82,12,1,'foreign','male','middle','no','no','2'
13,9,1,'foreign','male','young','no','no','2'
