@relation Rossi
@attribute survival_time numeric
@attribute survival_status numeric
@attribute fin {'no','yes'}
@attribute age numeric
@attribute race {'black','other'}
@attribute wexp {'no','yes'}
@attribute mar {'married','not married'}
@attribute paro {'no','yes'}
@attribute prio numeric
@attribute educ numeric
@attribute emp1 {'no','yes'}
@attribute emp2 {'no','yes'}
@attribute emp3 {'no','yes'}
@attribute emp4 {'no','yes'}
@attribute emp5 {'no','yes'}
@attribute emp6 {'no','yes'}
@attribute emp7 {'no','yes'}
@attribute emp8 {'no','yes'}
@attribute emp9 {'no','yes'}
@attribute emp10 {'no','yes'}
@attribute emp11 {'no','yes'}
@attribute emp12 {'no','yes'}
@attribute emp13 {'no','yes'}
@attribute emp14 {'no','yes'}
@attribute emp15 {'no','yes'}
@attribute emp16 {'no','yes'}
@attribute emp17 {'no','yes'}
@attribute emp18 {'no','yes'}
@attribute emp19 {'no','yes'}
@attribute emp20 {'no','yes'}
@attribute emp21 {'no','yes'}
@attribute emp22 {'no','yes'}
@attribute emp23 {'no','yes'}
@attribute emp24 {'no','yes'}
@attribute emp25 {'no','yes'}
@attribute emp26 {'no','yes'}
@attribute emp27 {'no','yes'}
@attribute emp28 {'no','yes'}
@attribute emp29 {'no','yes'}
@attribute emp30 {'no','yes'}
@attribute emp31 {'no','yes'}
@attribute emp32 {'no','yes'}
@attribute emp33 {'no','yes'}
@attribute emp34 {'no','yes'}
@attribute emp35 {'no','yes'}
@attribute emp36 {'no','yes'}
@attribute emp37 {'no','yes'}
@attribute emp38 {'no','yes'}
@attribute emp39 {'no','yes'}
@attribute emp40 {'no','yes'}
@attribute emp41 {'no','yes'}
@attribute emp42 {'no','yes'}
@attribute emp43 {'no','yes'}
@attribute emp44 {'no','yes'}
@attribute emp45 {'no','yes'}
@attribute emp46 {'no','yes'}
@attribute emp47 {'no','yes'}
@attribute emp48 {'no','yes'}
@attribute emp49 {'no','yes'}
@attribute emp50 {'no','yes'}
@attribute emp51 {'no','yes'}
@attribute emp52 {'no','yes'}
@attribute group {'1','2'}
@data
20,1,'no',27,'black','no','not married','yes',3,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'1'
17,1,'no',18,'black','no','not married','yes',8,4,'no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','no','no','no',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'1'
25,1,'no',19,'other','yes','not married','yes',13,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','no','no','no','no','no','no','no','no',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'1'
52,0,'yes',23,'black','yes','married','yes',1,5,'no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','2'
52,0,'no',19,'other','yes','not married','yes',3,3,'no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','2'
52,0,'no',24,'black','yes','not married','no',2,4,'no','no','no','no','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','2'
23,1,'no',25,'black','yes','married','yes',0,4,'yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','no',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'1'
52,0,'yes',21,'black','yes','not married','yes',4,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','no','no','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','2'
52,0,'no',22,'black','no','not married','no',6,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','2'
52,0,'no',20,'black','yes','not married','no',0,5,'no','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','2'
52,0,'yes',26,'black','no','not married','yes',3,3,'no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','2'
52,0,'no',40,'black','yes','not married','no',2,5,'no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','2'
37,1,'no',17,'black','yes','not married','yes',5,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','no','no','no','no','no','no','no','no',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'1'
52,0,'no',37,'black','yes','not married','no',2,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','2'
25,1,'no',20,'black','no','not married','yes',3,4,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','no','no',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'1'
46,1,'yes',22,'black','yes','not married','yes',2,3,'no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','no',?,?,?,?,?,?,'1'
28,1,'no',19,'black','no','not married','no',7,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'1'
52,0,'no',20,'black','no','not married','no',2,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','2'
52,0,'no',25,'black','no','not married','yes',12,3,'no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','2'
52,0,'no',24,'other','yes','not married','yes',1,3,'no','yes','yes','no','no','no','no','no','yes','yes','yes','yes','yes','yes','no','no','no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','2'
52,0,'no',23,'black','no','not married','yes',4,3,'no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','yes','yes','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','no','yes','2'
52,0,'yes',44,'black','yes','married','yes',0,3,'no','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','yes','2'
