@relation csb.ch07.halibut
@attribute survival_time numeric
@attribute survival_status numeric
@attribute TOWD {'100','30'}
@attribute DELDEPTH numeric
@attribute LENGTH numeric
@attribute HANDTIME numeric
@attribute LOGCAT numeric
@attribute group {'1','2'}
@data
209,1,'30',13,41,8,6.992,'2'
209,1,'30',13,44,8,6.992,'2'
209,1,'30',13,47,10,6.992,'2'
209,1,'30',13,34,10,6.992,'2'
38,1,'30',13,40,11,6.992,'2'
209,1,'30',13,42,11,6.992,'2'
140.9,1,'30',13,41,12,6.992,'2'
140.9,1,'30',13,30,12,6.992,'2'
140.1,1,'30',1,45,4,4.299,'2'
208,1,'30',1,47,5,4.299,'2'
140.1,1,'30',1,44,5,4.299,'2'
39.3,1,'30',1,37,5,4.299,'2'
45.3,1,'30',1,44,6,4.299,'2'
50.3,1,'30',1,44,6,4.299,'2'
139.1,1,'30',6,46,8,2.904,'2'
279,1,'30',6,49,8,2.904,'2'
92,1,'30',6,39,9,2.904,'2'
207,1,'30',6,46,9,2.904,'2'
207,1,'30',6,43,9,2.904,'2'
139.8,1,'30',6,44,10,2.904,'2'
139.8,1,'30',6,50,10,2.904,'2'
66.5,1,'30',2,31,3,2.908,'2'
397,1,'30',2,52,3,2.908,'2'
32.3,1,'30',2,47,3,2.908,'2'
44.3,1,'30',2,40,4,2.908,'2'
1200,0,'30',2,48,5,2.908,'2'
85,1,'30',2,48,5,2.908,'2'
28.2,1,'30',2,48,7,2.908,'1'
228,1,'30',2,51,1,3.597,'2'
136.3,1,'30',2,29,1,3.597,'2'
44.9,1,'30',3,47,12,3.356,'2'
42.1,1,'30',3,50,14,3.356,'2'
55.7,1,'30',3,41,14,3.356,'2'
42.1,1,'30',3,40,14,3.356,'2'
40.1,1,'30',3,45,15,3.356,'2'
44.8,1,'30',3,40,15,3.356,'2'
19.9,1,'30',3,48,16,3.356,'1'
21.1,1,'30',3,36,17,3.356,'1'
65.7,1,'30',4,43,4,3.468,'2'
44.1,1,'30',4,42,4,3.468,'2'
19.4,1,'30',4,32,5,3.468,'1'
44.1,1,'30',4,36,5,3.468,'2'
50.3,1,'30',4,32,6,3.468,'2'
16.4,1,'30',4,34,6,3.468,'1'
