Parameters: min_rule_covered=8.0; induction_measure=BinaryEntropy; pruning_measure=BinaryEntropy; voting_measure=C2; 
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,accuracy,classification_error,kappa,balanced_accuracy,#rules_per_example,#voting_conflicts,#negative_voting_conflicts,cross-entropy,margin,soft_margin_loss,logistic_loss,precision,sensitivity,specificity,negative_predictive_value,fallout,youden,geometric_mean,psep,lift,f_measure,false_positive,false_negative,true_positive,true_negative,
seismic-bumps-test-0.arff,2019.06.06_00.06.48,0.023088084,11.303202815, 8.345474522, 2.949915947, 17.0, 5.117647058823529, 327.1764705882353, 0.2794749886196955, 0.5285592009230484, 0.22787294206733932, 0.12317380768924607, 0.1275947781201925, 0.19314471534989147, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.7558139534883721, 0.2441860465116279, 0.12921890067502412, 0.6893249607535322, 4.8565891472868215, 249.0, 63.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.12121212121212122, 0.6153846153846154, 0.763265306122449, 0.9739583333333334, 0.23673469387755103, 0.3786499215070644, 0.6853478874590511, 0.09517045454545454, 2.405594405594406, 0.20253164556962025, 58.0, 5.0, 8.0, 187.0, 
seismic-bumps-test-1.arff,2019.06.06_00.06.48,0.025304178,10.125823818, 7.714325366000001, 2.4041535270000005, 16.0, 6.3125, 281.5625, 0.30900537634408604, 0.583400080333942, 0.16552066085962946, 0.18750107910311167, 0.20059656622215735, 0.37500431641259957, 0.8125, 0.8125, 0.8125, 0.749034749034749, 0.250965250965251, 0.18620389616667465, 0.6646153846153846, 4.984555984555985, 252.0, 63.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.20588235294117646, 0.56, 0.7692307692307693, 0.9424083769633508, 0.23076923076923078, 0.3292307692307692, 0.6563301233138936, 0.14829072990452727, 2.1329411764705886, 0.3010752688172043, 54.0, 11.0, 14.0, 180.0, 
seismic-bumps-test-2.arff,2019.06.06_00.06.48,0.031378978,8.821353014, 6.589590346999999, 2.2261159490000004, 14.0, 5.071428571428571, 308.14285714285717, 0.3354624738975556, 0.6026933611341496, 0.21014506701878596, 0.1428571428574703, 0.14835164835203393, 0.21428571428673182, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.7248062015503876, 0.27519379844961245, 0.12143884892086299, 0.6465277777777778, 4.6976744186046515, 254.0, 68.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.136986301369863, 0.5555555555555556, 0.7375, 0.9567567567567568, 0.2625, 0.29305555555555557, 0.6400954789890507, 0.09374305812661977, 1.9634703196347032, 0.21978021978021978, 63.0, 8.0, 10.0, 177.0, 
seismic-bumps-test-3.arff,2019.06.06_00.06.48,0.02298502,15.321208254, 11.590476870999998, 3.7239009250000006, 18.0, 5.888888888888889, 373.8888888888889, 0.3390203106332138, 0.6563319285748225, 0.185779270653534, 0.17169255082234827, 0.18292452917763904, 0.35360449675242045, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8416988416988417, 0.15830115830115832, 0.20271792176589803, 0.6480263157894737, 5.992277992277992, 226.0, 38.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.21052631578947367, 0.42105263157894735, 0.875, 0.9502262443438914, 0.125, 0.29605263157894735, 0.6069769786668839, 0.16075256013336509, 2.869806094182825, 0.2807017543859649, 30.0, 11.0, 8.0, 210.0, 
seismic-bumps-test-4.arff,2019.06.06_00.06.48,0.030894448,10.832288936, 8.346729681, 2.478124951, 21.0, 6.0, 251.14285714285714, 0.2949064406502068, 0.581372052142664, 0.24387937868649287, 0.14506785948084333, 0.1528343836742323, 0.29462368035210484, 0.8571428571428571, 0.8095238095238095, 0.8095238095238095, 0.8372093023255814, 0.16279069767441856, 0.22996020466173983, 0.7089359504132231, 6.372093023255814, 246.0, 42.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.20454545454545456, 0.5625, 0.8553719008264463, 0.9672897196261683, 0.1446280991735537, 0.41787190082644626, 0.6936473846378115, 0.17183517417162278, 3.2982954545454546, 0.3, 35.0, 7.0, 9.0, 207.0, 
seismic-bumps-test-5.arff,2019.06.06_00.06.48,0.02653881,6.171048034, 4.804246501, 1.359995879, 15.0, 5.466666666666667, 196.66666666666666, 0.2748638578389223, 0.476265776674305, 0.12815878595134317, 0.13430704758436546, 0.13922287038857795, 0.20296394759145558, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.7906976744186046, 0.2093023255813954, 0.23197353914002192, 0.7716942148760331, 4.174418604651163, 252.0, 53.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1935483870967742, 0.75, 0.7933884297520661, 0.9795918367346939, 0.2066115702479339, 0.5433884297520661, 0.7713892158398701, 0.17314022383146807, 3.1209677419354835, 0.3076923076923077, 50.0, 4.0, 12.0, 192.0, 
seismic-bumps-test-6.arff,2019.06.06_00.06.48,0.029401086,8.844615154, 6.338827948999998, 2.4990867480000007, 16.0, 6.75, 272.5, 0.25478494623655906, 0.5889583179186831, 0.20938874375685157, 0.12500182546422545, 0.12916877161554446, 0.1875056891458552, 0.875, 0.875, 0.875, 0.833976833976834, 0.16602316602316602, 0.15711798985847253, 0.6751012145748988, 4.038610038610039, 231.0, 42.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.13953488372093023, 0.5, 0.8502024291497976, 0.9722222222222222, 0.14979757085020243, 0.35020242914979755, 0.6519978639343068, 0.11175710594315245, 3.011627906976744, 0.21818181818181817, 37.0, 6.0, 6.0, 210.0, 
seismic-bumps-test-7.arff,2019.06.06_00.06.48,0.026904452,10.207968956, 7.069394689, 3.1318964800000004, 16.0, 5.3125, 330.4375, 0.2621453138435082, 0.6812169546677487, 0.32914287070468873, 0.1250000000000046, 0.12916666666667684, 0.1875000000000757, 0.875, 0.875, 0.875, 0.7131782945736435, 0.28682170542635654, 0.13540440177520174, 0.682450573590432, 4.089147286821706, 246.0, 74.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.13924050632911392, 0.6470588235294118, 0.7178423236514523, 0.9664804469273743, 0.2821576763485477, 0.364901147180864, 0.68153225119691, 0.10572095325648823, 2.113179448994788, 0.22916666666666666, 68.0, 6.0, 11.0, 173.0, 
seismic-bumps-test-8.arff,2019.06.06_00.06.48,0.035398052,17.256498922, 12.652334618, 4.596535415999999, 21.0, 5.238095238095238, 360.9047619047619, 0.2597235023041475, 0.5691493668782468, 0.1540676441006624, 0.1526132293499686, 0.1616910866388294, 0.3255806914426026, 0.8095238095238095, 0.8095238095238095, 0.7619047619047619, 0.803088803088803, 0.19691119691119696, 0.21012976140644596, 0.6757703081232493, 5.409266409266409, 252.0, 50.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.21153846153846154, 0.5238095238095238, 0.8277310924369747, 0.9516908212560387, 0.1722689075630252, 0.35154061624649857, 0.6584629293830813, 0.1632292827945002, 2.6089743589743595, 0.3013698630136986, 41.0, 10.0, 11.0, 197.0, 
seismic-bumps-test-9.arff,2019.06.06_00.06.48,0.028709573,12.055617874, 9.197433747000002, 2.8505714920000003, 17.0, 4.705882352941177, 327.94117647058823, 0.33222902230539675, 0.6488301316940168, 0.160517999335137, 0.17647117149898306, 0.18799090435133015, 0.35294350978336225, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.7906976744186046, 0.2093023255813954, 0.15960912052117235, 0.7076923076923077, 5.6434108527131785, 255.0, 54.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.14035087719298245, 0.6153846153846154, 0.8, 0.9751243781094527, 0.2, 0.4153846153846154, 0.7016464154456233, 0.11547525530243519, 2.785425101214575, 0.22857142857142856, 49.0, 5.0, 8.0, 196.0, 
